"term",".y.","group1","group2","df","statistic","p","p.adj","p.adj.signif"
"id","poll","1","2",213,-0.574571108243045,0.566187730068216,1,"ns"
"id","poll","1","3",213,-1.39471484469755,0.16455465560767,1,"ns"
"id","poll","1","4",213,-0.844445276362359,0.399368083417139,1,"ns"
"id","poll","1","5",213,-3.39958936740878,0.00080559703892108,0.0531694045687913,"ns"
"id","poll","1","7",213,-3.8204747759792,0.000174755886708853,0.0115338885227843,"*"
"id","poll","1","8",213,-7.64998906388452,6.8478095255652e-13,4.51955428687303e-11,"****"
"id","poll","1","9",213,-5.39118657015993,1.85135137147677e-07,1.22189190517467e-05,"****"
"id","poll","1","10",213,-7.78658891806097,2.96466109168711e-13,1.95667632051349e-11,"****"
"id","poll","1","11",213,-9.78478870346393,6.57012353880854e-19,4.33628153561364e-17,"****"
"id","poll","1","12",213,-11.968818179305,1.38774490964377e-25,9.1591164036489e-24,"****"
"id","poll","1","13",213,-11.4056521861141,7.87397223685131e-24,5.19682167632186e-22,"****"
"id","poll","2","3",213,-0.857244652079106,0.392273169617952,1,"ns"
"id","poll","2","4",213,-0.274487578267776,0.783975983073076,1,"ns"
"id","poll","2","5",213,-2.79836428248284,0.00560733553573044,0.370084145358209,"ns"
"id","poll","2","7",213,-3.196605153635,0.00160200656003043,0.105732432962008,"ns"
"id","poll","2","8",213,-6.97670428368876,3.75745038083788e-11,2.479917251353e-09,"****"
"id","poll","2","9",213,-4.74704884971936,3.78537780843001e-06,0.00024983493535638,"***"
"id","poll","2","10",213,-7.12129699330836,1.61837816391218e-11,1.06812958818204e-09,"****"
"id","poll","2","11",213,-9.09436118963468,6.83040563029475e-17,4.50806771599454e-15,"****"
"id","poll","2","12",213,-11.2509175029637,2.37058452581706e-23,1.56458578703926e-21,"****"
"id","poll","2","13",213,-10.6948356407441,1.20601190036933e-21,7.95967854243759e-20,"****"
"id","poll","3","4",213,0.593958901373931,0.553169880583953,1,"ns"
"id","poll","3","5",213,-1.73564038868549,0.0840736383415897,1,"ns"
"id","poll","3","7",213,-2.07230952104002,0.0394404333175082,1,"ns"
"id","poll","3","8",213,-5.54753711018304,8.54425551055799e-08,5.63920863696827e-06,"****"
"id","poll","3","9",213,-3.49770724810138,0.000571141667018188,0.0376953500232004,"*"
"id","poll","3","10",213,-5.70241254580369,3.91301060585589e-08,2.58258699986489e-06,"****"
"id","poll","3","11",213,-7.51986585093595,1.50890125396287e-12,9.95874827615496e-11,"****"
"id","poll","3","12",213,-9.50633968521933,4.34352868344332e-18,2.86672893107259e-16,"****"
"id","poll","3","13",213,-8.99411467992213,1.32529203619138e-16,8.74692743886309e-15,"****"
"id","poll","4","5",213,-2.49044639767833,0.0135225019213385,0.892485126808341,"ns"
"id","poll","4","7",213,-2.8741318089591,0.00446200015312034,0.294492010105943,"ns"
"id","poll","4","8",213,-6.60150730910646,3.18460562598109e-10,2.10183971314752e-08,"****"
"id","poll","4","9",213,-4.40295040559219,1.6895219323469e-05,0.00111508447534896,"**"
"id","poll","4","10",213,-6.7499165057357,1.3792443662558e-10,9.10301281728827e-09,"****"
"id","poll","4","11",213,-8.69613504032273,9.32791035583611e-16,6.15642083485183e-14,"****"
"id","poll","4","12",213,-10.8233490841923,4.88678029014598e-22,3.22527499149634e-20,"****"
"id","poll","4","13",213,-10.2748333141457,2.25877989409803e-20,1.4907947301047e-18,"****"
"id","poll","5","7",213,-0.318987717912672,0.750048424168226,1,"ns"
"id","poll","5","8",213,-4.04636321806003,7.27669228837136e-05,0.0048026169103251,"**"
"id","poll","5","9",213,-1.84780631454576,0.0660169124701462,1,"ns"
"id","poll","5","10",213,-4.22603980152064,3.52737003383917e-05,0.00232806422233385,"**"
"id","poll","5","11",213,-6.17225833610766,3.35288665980095e-09,2.21290519546862e-07,"****"
"id","poll","5","12",213,-8.29947237997721,1.19554207927267e-14,7.89057772319963e-13,"****"
"id","poll","5","13",213,-7.75095660993062,3.69099914875321e-13,2.43605943817712e-11,"****"
"id","poll","7","8",213,-3.82951428790532,0.000168860186282946,0.0111447722946744,"*"
"id","poll","7","9",213,-1.57071179418074,0.117733893987351,1,"ns"
"id","poll","7","10",213,-4.01541265618294,8.22345650607803e-05,0.0054274812940115,"**"
"id","poll","7","11",213,-6.01361244158589,7.79822466022611e-09,5.14682827574923e-07,"****"
"id","poll","7","12",213,-8.19764191742697,2.28010176451228e-14,1.5048671645781e-12,"****"
"id","poll","7","13",213,-7.63447592423606,7.52703507229818e-13,4.9678431477168e-11,"****"
"id","poll","8","9",213,2.25880249372458,0.0249084449446051,1,"ns"
"id","poll","8","10",213,-0.23531352612917,0.814191477521689,1,"ns"
"id","poll","8","11",213,-2.23351331153212,0.0265548773725109,1,"ns"
"id","poll","8","12",213,-4.4175427873732,1.58838314195757e-05,0.001048332873692,"**"
"id","poll","8","13",213,-3.85437679418229,0.00015360103065,0.0101376680229,"*"
"id","poll","9","10",213,-2.46496896009857,0.014493568046458,0.956575491066228,"ns"
"id","poll","9","11",213,-4.46316874550153,1.30829205312418e-05,0.000863472755061957,"***"
"id","poll","9","12",213,-6.6471982213426,2.46433655474055e-10,1.62646212612876e-08,"****"
"id","poll","9","13",213,-6.0840322281517,5.37096556444082e-09,3.54483727253094e-07,"****"
"id","poll","10","11",213,-1.97306419632631,0.0497815221976371,1,"ns"
"id","poll","10","12",213,-4.12962050965529,5.21796463387846e-05,0.00344385665835978,"**"
"id","poll","10","13",213,-3.57353864743577,0.000435569783653781,0.0287476057211495,"*"
"id","poll","11","12",213,-2.15655631332898,0.0321604849635816,1,"ns"
"id","poll","11","13",213,-1.60047445110946,0.110975494650886,1,"ns"
"id","poll","12","13",213,0.55608186221952,0.578738570525166,1,"ns"
