"grop","variable","n","min","max","median","iqr","mean","sd","se","ci","later_grop"
"dry2dry5_Downstream","poll",32,0.194,3.568,0.541,1.111,0.963,0.875,0.155,0.315,"ab"
"dry2dry5_Middlestream","poll",39,0.045,49.276,0.333,0.315,2.864,9.354,1.498,3.032,"a"
"dry2dry5_Upstream","poll",21,0,2.622,0.128,0.246,0.468,0.835,0.182,0.38,"ab"
"dry2wet5_Downstream","poll",12,0.291,2.751,1.131,0.878,1.244,0.815,0.235,0.518,"ab"
"dry2wet5_Middlestream","poll",16,0.088,8.525,0.491,0.356,1.043,2.026,0.507,1.08,"ab"
"dry2wet5_Upstream","poll",9,0.024,2.29,0.244,0.695,0.547,0.74,0.247,0.569,"ab"
"other_Downstream","poll",52,0.171,9.137,0.753,1.004,1.13,1.414,0.196,0.394,"ab"
"other_Middlestream","poll",61,0,9.738,0.233,0.51,0.822,1.525,0.195,0.391,"ab"
"other_Upstream","poll",32,0,0.43,0.018,0.09,0.07,0.114,0.02,0.041,"b"
"wet2wet5_Downstream","poll",24,0.286,1.942,1.394,0.7,1.324,0.477,0.097,0.201,"ab"
"wet2wet5_Middlestream","poll",35,0.006,3.777,0.761,0.74,0.92,0.749,0.127,0.257,"ab"
"wet2wet5_Upstream","poll",20,0.004,1.094,0.23,0.419,0.294,0.338,0.076,0.158,"ab"
