"id","variable","n","min","max","median","iqr","mean","sd","se","ci","later_grop"
"1","poll",31,0,2.442,0.016,0.174,0.278,0.617,0.111,0.226,"a"
"2","poll",30,0,2.622,0.043,0.124,0.233,0.514,0.094,0.192,"a"
"3","poll",21,0,1.793,0.206,0.243,0.346,0.474,0.103,0.216,"a"
"4","poll",28,0.196,49.276,1.027,3.042,5.059,10.79,2.039,4.184,"b"
"5","poll",29,0,1.554,0.18,0.343,0.338,0.404,0.075,0.154,"a"
"7","poll",31,0.016,1.945,0.321,0.403,0.462,0.417,0.075,0.153,"a"
"8","poll",32,0,1.96,0.26,0.346,0.408,0.451,0.08,0.162,"a"
"9","poll",31,0.059,3.777,0.638,1.003,1.029,0.979,0.176,0.359,"a"
"10","poll",31,0.171,1.894,0.36,0.363,0.529,0.488,0.088,0.179,"a"
"11","poll",30,0.212,9.137,1.491,1.329,1.673,1.713,0.313,0.64,"a"
"12","poll",29,0.207,2.751,1.053,0.849,1.148,0.63,0.117,0.24,"a"
"13","poll",30,0.218,3.468,1.097,0.792,1.213,0.757,0.138,0.283,"a"
