"grop","emmean","se","df","conf.low","conf.high","method"
"dry2dry5_Downstream",0.962823603125015,0.582610789898515,341,-0.183139852359352,2.10878705860938,"Emmeans test"
"dry2dry5_Middlestream",2.86439268923078,0.527741453797545,341,1.82635420713964,3.90243117132193,"Emmeans test"
"dry2dry5_Upstream",0.468161201428563,0.719190372843211,341,-0.946446799494417,1.88276920235154,"Emmeans test"
"dry2wet5_Downstream",1.24417155,0.951399435927483,341,-0.627178936542224,3.11552203654223,"Emmeans test"
"dry2wet5_Middlestream",1.043032470625,0.823936080659379,341,-0.577604590104926,2.66366953135492,"Emmeans test"
"dry2wet5_Upstream",0.547149744444441,1.09858144087917,341,-1.61369966986213,2.70799915875101,"Emmeans test"
"other_Downstream",1.12996992884615,0.457037505618805,341,0.231002233249383,2.02893762444292,"Emmeans test"
"other_Middlestream",0.821535468688524,0.421976820127064,341,-0.00846978234939166,1.65154071972644,"Emmeans test"
"other_Upstream",0.0699641531249983,0.582610789898514,341,-1.07599930235937,1.21592760860936,"Emmeans test"
"wet2wet5_Downstream",1.32398962083333,0.672740992761375,341,0.000745001822585856,2.64723423984407,"Emmeans test"
"wet2wet5_Middlestream",0.920404669142855,0.557082467354891,341,-0.175345976654436,2.01615531494015,"Emmeans test"
"wet2wet5_Upstream",0.2944868625,0.736950834187649,341,-1.15505499135903,1.74402871635903,"Emmeans test"
