"term",".y.","group1","group2","df","statistic","p","p.adj","p.adj.signif"
"grop","poll","dry2dry5_Downstream","dry2dry5_Middlestream",341,-2.41900471087178,0.0160859435947649,1,"ns"
"grop","poll","dry2dry5_Downstream","dry2dry5_Upstream",341,0.53444385859397,0.593382751759974,1,"ns"
"grop","poll","dry2dry5_Downstream","dry2wet5_Downstream",341,-0.252190958093018,0.80104540084509,1,"ns"
"grop","poll","dry2dry5_Downstream","dry2wet5_Middlestream",341,-0.0794846440289528,0.936693769489253,1,"ns"
"grop","poll","dry2dry5_Downstream","dry2wet5_Upstream",341,0.334274706310568,0.738377766719014,1,"ns"
"grop","poll","dry2dry5_Downstream","other_Downstream",341,-0.225725352300849,0.821550264263324,1,"ns"
"grop","poll","dry2dry5_Downstream","other_Middlestream",341,0.196404127559628,0.844410862486456,1,"ns"
"grop","poll","dry2dry5_Downstream","other_Upstream",341,1.08365135470882,0.279285017071166,1,"ns"
"grop","poll","dry2dry5_Downstream","wet2wet5_Downstream",341,-0.405826090637484,0.685124912721941,1,"ns"
"grop","poll","dry2dry5_Downstream","wet2wet5_Middlestream",341,0.052623271937458,0.958062887979865,1,"ns"
"grop","poll","dry2dry5_Downstream","wet2wet5_Upstream",341,0.711426664910209,0.47730625222931,1,"ns"
"grop","poll","dry2dry5_Middlestream","dry2dry5_Upstream",341,2.68622003418587,0.00758026534588063,0.500297512828122,"ns"
"grop","poll","dry2dry5_Middlestream","dry2wet5_Downstream",341,1.48921917682504,0.137353924783482,1,"ns"
"grop","poll","dry2dry5_Middlestream","dry2wet5_Middlestream",341,1.86145818190908,0.0635397434098635,1,"ns"
"grop","poll","dry2dry5_Middlestream","dry2wet5_Upstream",341,1.90130152036066,0.0581052791092803,1,"ns"
"grop","poll","dry2dry5_Middlestream","other_Downstream",341,2.48436115786148,0.013457819835248,0.888216109126367,"ns"
"grop","poll","dry2dry5_Middlestream","other_Middlestream",341,3.02330332966123,0.00268973969468963,0.177522819849516,"ns"
"grop","poll","dry2dry5_Middlestream","other_Upstream",341,3.55481998651847,0.00043161553306674,0.0284866251824048,"*"
"grop","poll","dry2dry5_Middlestream","wet2wet5_Downstream",341,1.80155909326612,0.072497994514271,1,"ns"
"grop","poll","dry2dry5_Middlestream","wet2wet5_Middlestream",341,2.53332283287405,0.0117462140453189,0.775250126991049,"ns"
"grop","poll","dry2dry5_Middlestream","wet2wet5_Upstream",341,2.83520843296797,0.00485276627402114,0.320282574085395,"ns"
"grop","poll","dry2dry5_Upstream","dry2wet5_Downstream",341,-0.650664782063319,0.515701066445399,1,"ns"
"grop","poll","dry2dry5_Upstream","dry2wet5_Middlestream",341,-0.525636927609112,0.599482130178063,1,"ns"
"grop","poll","dry2dry5_Upstream","dry2wet5_Upstream",341,-0.0601562651947444,0.95206641738133,1,"ns"
"grop","poll","dry2dry5_Upstream","other_Downstream",341,-0.776656294708665,0.43789996854336,1,"ns"
"grop","poll","dry2dry5_Upstream","other_Middlestream",341,-0.423788382497016,0.671987343809322,1,"ns"
"grop","poll","dry2dry5_Upstream","other_Upstream",341,0.430220623694542,0.66730692406862,1,"ns"
"grop","poll","dry2dry5_Upstream","wet2wet5_Downstream",341,-0.86904487483395,0.385433836838371,1,"ns"
"grop","poll","dry2dry5_Upstream","wet2wet5_Middlestream",341,-0.497128253141175,0.619418977854034,1,"ns"
"grop","poll","dry2dry5_Upstream","wet2wet5_Upstream",341,0.168661072903304,0.866163235263407,1,"ns"
"grop","poll","dry2wet5_Downstream","dry2wet5_Middlestream",341,0.159813897857575,0.873122296190781,1,"ns"
