"term",".y.","group1","group2","df","statistic","p","p.adj","p.adj.signif"
"id","poll","1","2",341,0.0558520288325347,0.955492396523438,1,"ns"
"id","poll","1","3",341,-0.0768418515952817,0.938794421213105,1,"ns"
"id","poll","1","4",341,-5.86631309534787,1.05448963077669e-08,6.95963156312618e-07,"****"
"id","poll","1","5",341,-0.0744206740104733,0.94071929593677,1,"ns"
"id","poll","1","7",341,-0.23109860537256,0.817376796176885,1,"ns"
"id","poll","1","8",341,-0.165430362901235,0.868703287219277,1,"ns"
"id","poll","1","9",341,-0.945882285425292,0.344878383454238,1,"ns"
"id","poll","1","10",341,-0.315581732689131,0.752513055086382,1,"ns"
"id","poll","1","11",341,-1.7425439183888,0.082314812955993,1,"ns"
"id","poll","1","12",341,-1.07759446464758,0.281976486922056,1,"ns"
"id","poll","1","13",341,-1.16820665159934,0.243539508398416,1,"ns"
"id","poll","2","3",341,-0.126604290263612,0.899328218153055,1,"ns"
"id","poll","2","4",341,-5.87489246198795,1.00607934973588e-08,6.6401237082568e-07,"****"
"id","poll","2","5",341,-0.128756604380167,0.897626150020538,1,"ns"
"id","poll","2","7",341,-0.285048555724816,0.77577998677871,1,"ns"
"id","poll","2","8",341,-0.220333661673661,0.825743158128562,1,"ns"
"id","poll","2","9",341,-0.993949142481978,0.320952397627768,1,"ns"
"id","poll","2","10",341,-0.36883633683557,0.712478612275623,1,"ns"
"id","poll","2","11",341,-1.78383379705473,0.07533983355442,1,"ns"
"id","poll","2","12",341,-1.12394562692562,0.261826687114825,1,"ns"
"id","poll","2","13",341,-1.2141471109887,0.22553173297116,1,"ns"
"id","poll","3","4",341,-5.22289112700239,3.07152571894174e-07,2.02720697450155e-05,"****"
"id","poll","3","5",341,0.00869508615620774,0.993067497012847,1,"ns"
"id","poll","3","7",341,-0.130850401649753,0.895970811301132,1,"ns"
"id","poll","3","8",341,-0.0711173183998826,0.943346075127357,1,"ns"
"id","poll","3","9",341,-0.773238670733424,0.439916811494058,1,"ns"
"id","poll","3","10",341,-0.206776827277803,0.836307567290906,1,"ns"
"id","poll","3","11",341,-1.49219850296509,0.136571671240369,1,"ns"
"id","poll","3","12",341,-0.89577790041191,0.371003290113919,1,"ns"
"id","poll","3","13",341,-0.975216259332561,0.330144294293013,1,"ns"
"id","poll","4","5",341,5.70004122775448,2.59456532999054e-08,1.71241311779376e-06,"****"
"id","poll","4","7",341,5.6411665267893,3.55171761255641e-08,2.34413362428723e-06,"****"
"id","poll","4","8",341,5.74919856736938,1.99233505761292e-08,1.31494113802453e-06,"****"
"id","poll","4","9",341,4.94479238569014,1.19843219251889e-06,7.90965247062466e-05,"****"
"id","poll","4","10",341,5.55885929613442,5.48589786051757e-08,3.62069258794159e-06,"****"
"id","poll","4","11",341,4.12208422814294,4.71943457454628e-05,0.00311482681920055,"**"
"id","poll","4","12",341,4.72187527271804,3.41856743710613e-06,0.000225625450849004,"***"
"id","poll","4","13",341,4.68186256382483,4.10932456434198e-06,0.000271215421246571,"***"
"id","poll","5","7",341,-0.152793644548688,0.878651379225307,1,"ns"
"id","poll","5","8",341,-0.0876176575391955,0.930231996808422,1,"ns"
"id","poll","5","9",341,-0.855563297868607,0.392840123510384,1,"ns"
"id","poll","5","10",341,-0.235856786241108,0.813685394000547,1,"ns"
"id","poll","5","11",341,-1.6398953523556,0.101949050745671,1,"ns"
"id","poll","5","12",341,-0.986860934521708,0.3244105166623,1,"ns"
"id","poll","5","13",341,-1.07505715178973,0.28310921443669,1,"ns"
"id","poll","7","8",341,0.0674951373462514,0.946227089969108,1,"ns"
"id","poll","7","9",341,-0.714783680052729,0.475231768458043,1,"ns"
"id","poll","7","10",341,-0.0844831273165708,0.932721893610545,1,"ns"
"id","poll","7","11",341,-1.51334739149652,0.131117693275376,1,"ns"
"id","poll","7","12",341,-0.850380146088421,0.395710462156131,1,"ns"
"id","poll","7","13",341,-0.939010124707053,0.34839018147958,1,"ns"
"id","poll","8","9",341,-0.787929369204187,0.431285382274262,1,"ns"
"id","poll","8","10",341,-0.152646125864596,0.878767628274921,1,"ns"
"id","poll","8","11",341,-1.5920432885118,0.112301511536373,1,"ns"
"id","poll","8","12",341,-0.923219102331377,0.356545816186749,1,"ns"
"id","poll","8","13",341,-1.01324103666618,0.311663435807758,1,"ns"
"id","poll","9","10",341,0.630300552736158,0.52892010851516,1,"ns"
"id","poll","9","11",341,-0.804446804739361,0.42169945805157,1,"ns"
"id","poll","9","12",341,-0.147610492768503,0.882737412745048,1,"ns"
"id","poll","9","13",341,-0.230109537949894,0.818144629713144,1,"ns"
"id","poll","10","11",341,-1.42955961038577,0.153758950055348,1,"ns"
"id","poll","10","12",341,-0.767317004396002,0.443424009397593,1,"ns"
"id","poll","10","13",341,-0.8552223435963,0.393028547684565,1,"ns"
"id","poll","11","12",341,0.644706329810151,0.519550982384465,1,"ns"
"id","poll","11","13",341,0.569686686066021,0.569265318363093,1,"ns"
"id","poll","12","13",341,-0.0798681292442742,0.936388988597572,1,"ns"
