"id","variable","n","min","max","median","iqr","mean","sd","se","ci","later_grop"
"1","poll",31,9.882,58.26,50.331,6.649,47.611,10.373,1.863,3.805,"ab"
"2","poll",30,21.924,64.618,50.664,6.704,49.76,8.07,1.473,3.013,"abc"
"3","poll",21,5.794,70.076,51.411,14.186,44.991,17.734,3.87,8.072,"ad"
"4","poll",28,4.055,59.25,44.562,36.131,35.964,19.903,3.761,7.718,"d"
"5","poll",29,9.698,85.025,50.836,6.871,48.973,15.067,2.798,5.731,"abc"
"7","poll",31,11.892,66.824,57.665,7.593,54.047,12.376,2.223,4.54,"abc"
"8","poll",32,16.965,72.274,60.026,13.645,56.261,12.921,2.284,4.659,"abc"
"9","poll",31,16.868,65.511,48.061,5.637,49.126,9.978,1.792,3.66,"abc"
"10","poll",31,17.126,66.544,57.341,11.354,54.671,11.933,2.143,4.377,"abc"
"11","poll",30,17.806,95.04,56.072,10.355,55.666,12.756,2.329,4.763,"abc"
"12","poll",29,33.675,77.14,60.02,10.59,59.238,9.997,1.856,3.802,"c"
"13","poll",30,19.441,73.567,61.495,11.507,58.731,11.07,2.021,4.134,"bc"
