"grop","emmean","se","df","conf.low","conf.high","method"
"dry2dry5_Downstream",60.5216229166667,2.11591517546978,341,56.3597338682069,64.6835119651265,"Emmeans test"
"dry2dry5_Middlestream",52.4878311965812,1.91664172750598,341,48.717902085998,56.2577603071644,"Emmeans test"
"dry2dry5_Upstream",48.2791238095238,2.61194239848492,341,43.1415764307406,53.4166711883069,"Emmeans test"
"dry2wet5_Downstream",53.7695249999999,3.45527501260835,341,46.9731886434639,60.5658613565359,"Emmeans test"
"dry2wet5_Middlestream",51.01026375,2.9923559379804,341,45.1244638125761,56.896063687424,"Emmeans test"
"dry2wet5_Upstream",50.4287925925926,3.98980791730721,341,42.581059342694,58.2765258424912,"Emmeans test"
"other_Downstream",61.2499698717949,1.65986042597346,341,57.9851154915634,64.5148242520264,"Emmeans test"
"other_Middlestream",54.1086771038251,1.53252767179074,341,51.0942792642372,57.1230749434131,"Emmeans test"
"other_Upstream",52.64265,2.11591517546978,341,48.4807609515402,56.8045390484598,"Emmeans test"
"wet2wet5_Downstream",44.90399125,2.44324839227978,341,40.0982557250687,49.7097267749312,"Emmeans test"
"wet2wet5_Middlestream",36.0592531428571,2.02320188211703,341,32.0797260551814,40.0387802305328,"Emmeans test"
"wet2wet5_Upstream",38.0630676666667,2.67644451607973,341,32.7986481618491,43.3274871714843,"Emmeans test"
