"term",".y.","group1","group2","df","statistic","p","p.adj","p.adj.signif"
"grop","poll","dry2dry5_Downstream","dry2dry5_Middlestream",341,2.81400875340716,0.00517669539801512,0.341661896268998,"ns"
"grop","poll","dry2dry5_Downstream","dry2dry5_Upstream",341,3.64203017940574,0.000312507955795596,0.0206255250825093,"*"
"grop","poll","dry2dry5_Downstream","dry2wet5_Downstream",341,1.66649787062811,0.0965325038647446,1,"ns"
"grop","poll","dry2dry5_Downstream","dry2wet5_Middlestream",341,2.59527689904442,0.00985982060040534,0.650748159626752,"ns"
"grop","poll","dry2dry5_Downstream","dry2wet5_Upstream",341,2.23482769737793,0.0260759364166372,1,"ns"
"grop","poll","dry2dry5_Downstream","other_Downstream",341,-0.270833314301253,0.786683095896599,1,"ns"
"grop","poll","dry2dry5_Downstream","other_Middlestream",341,2.45461147502176,0.0146027889730958,0.963784072224326,"ns"
"grop","poll","dry2dry5_Downstream","other_Upstream",341,2.63303332891085,0.0088478186903785,0.583956033564981,"ns"
"grop","poll","dry2dry5_Downstream","wet2wet5_Downstream",341,4.83201785065818,2.04652524391273e-06,0.00013507066609824,"***"
"grop","poll","dry2dry5_Downstream","wet2wet5_Middlestream",341,8.35597042461336,1.66233698634468e-15,1.09714241098749e-13,"****"
"grop","poll","dry2dry5_Downstream","wet2wet5_Upstream",341,6.58259123991668,1.74659173820513e-10,1.15275054721538e-08,"****"
"grop","poll","dry2dry5_Middlestream","dry2dry5_Upstream",341,1.29909770450173,0.194788081077461,1,"ns"
"grop","poll","dry2dry5_Middlestream","dry2wet5_Downstream",341,-0.324376124401562,0.745852178147766,1,"ns"
"grop","poll","dry2dry5_Middlestream","dry2wet5_Middlestream",341,0.415800513979815,0.677817524624445,1,"ns"
"grop","poll","dry2dry5_Middlestream","dry2wet5_Upstream",341,0.465183375911186,0.642097065268679,1,"ns"
"grop","poll","dry2dry5_Middlestream","other_Downstream",341,-3.45581240279097,0.000617948212804988,0.0407845820451292,"*"
"grop","poll","dry2dry5_Middlestream","other_Middlestream",341,-0.66048917959328,0.509385881777349,1,"ns"
"grop","poll","dry2dry5_Middlestream","other_Upstream",341,-0.0542286236925191,0.956784772192114,1,"ns"
"grop","poll","dry2dry5_Middlestream","wet2wet5_Downstream",341,2.44221315343384,0.0151048842593297,0.996922361115763,"ns"
"grop","poll","dry2dry5_Middlestream","wet2wet5_Middlestream",341,5.89491026941473,9.01408574069772e-09,5.9492965888605e-07,"****"
"grop","poll","dry2dry5_Middlestream","wet2wet5_Upstream",341,4.38184241961342,1.56865194109069e-05,0.00103531028111986,"**"
"grop","poll","dry2dry5_Upstream","dry2wet5_Downstream",341,-1.26757638007029,0.205814156498383,1,"ns"
"grop","poll","dry2dry5_Upstream","dry2wet5_Middlestream",341,-0.687605730760311,0.4921685139976,1,"ns"
"grop","poll","dry2dry5_Upstream","dry2wet5_Upstream",341,-0.450784092457197,0.652431663965548,1,"ns"
"grop","poll","dry2dry5_Upstream","other_Downstream",341,-4.19126336945738,3.53842827427533e-05,0.00233536266102172,"**"
"grop","poll","dry2dry5_Upstream","other_Middlestream",341,-1.92499529860572,0.0550615153512779,1,"ns"
"grop","poll","dry2dry5_Upstream","other_Upstream",341,-1.29810865700367,0.195127299521344,1,"ns"
"grop","poll","dry2dry5_Upstream","wet2wet5_Downstream",341,0.943684025341262,0.345999258947398,1,"ns"
"grop","poll","dry2dry5_Upstream","wet2wet5_Middlestream",341,3.69864818245627,0.000252547174809605,0.0166681135374339,"*"
"grop","poll","dry2dry5_Upstream","wet2wet5_Upstream",341,2.73176128141,0.00662752378566148,0.437416569853658,"ns"
"grop","poll","dry2wet5_Downstream","dry2wet5_Middlestream",341,0.603658302419007,0.546472181521652,1,"ns"
"grop","poll","dry2wet5_Downstream","dry2wet5_Upstream",341,0.632951856330337,0.527189309931167,1,"ns"
"grop","poll","dry2wet5_Downstream","other_Downstream",341,-1.95144579303533,0.051822486947214,1,"ns"
"grop","poll","dry2wet5_Downstream","other_Middlestream",341,-0.0897253959204829,0.928558110525076,1,"ns"
"grop","poll","dry2wet5_Downstream","other_Upstream",341,0.278126118895344,0.781084108300801,1,"ns"
"grop","poll","dry2wet5_Downstream","wet2wet5_Downstream",341,2.0949643569789,0.0369115266609542,1,"ns"
"grop","poll","dry2wet5_Downstream","wet2wet5_Middlestream",341,4.42310960629297,1.31025305998814e-05,0.000864767019592175,"***"
"grop","poll","dry2wet5_Downstream","wet2wet5_Upstream",341,3.59364876633174,0.000374110911863767,0.0246913201830087,"*"
"grop","poll","dry2wet5_Middlestream","dry2wet5_Upstream",341,0.116591308545974,0.90725256004527,1,"ns"
"grop","poll","dry2wet5_Middlestream","other_Downstream",341,-2.99241247706883,0.00296959371171541,0.195993184973217,"ns"
"grop","poll","dry2wet5_Middlestream","other_Middlestream",341,-0.921606776599496,0.357385285140563,1,"ns"
"grop","poll","dry2wet5_Middlestream","other_Upstream",341,-0.445414188519956,0.656303091711734,1,"ns"
"grop","poll","dry2wet5_Middlestream","wet2wet5_Downstream",341,1.58066033520504,0.114882799096892,1,"ns"
"grop","poll","dry2wet5_Middlestream","wet2wet5_Middlestream",341,4.13910298805522,4.39821033581161e-05,0.00290281882163566,"**"
"grop","poll","dry2wet5_Middlestream","wet2wet5_Upstream",341,3.22497402942554,0.00138172358587491,0.0911937566677439,"ns"
"grop","poll","dry2wet5_Upstream","other_Downstream",341,-2.50414388044207,0.0127412539352052,0.840922759723543,"ns"
"grop","poll","dry2wet5_Upstream","other_Middlestream",341,-0.860989982986522,0.389848540822665,1,"ns"
"grop","poll","dry2wet5_Upstream","other_Upstream",341,-0.490208365072583,0.624301713783163,1,"ns"
"grop","poll","dry2wet5_Upstream","wet2wet5_Downstream",341,1.18090056301073,0.238465225094954,1,"ns"
"grop","poll","dry2wet5_Upstream","wet2wet5_Middlestream",341,3.21217017348719,0.00144288942530665,0.0952307020702389,"ns"
"grop","poll","dry2wet5_Upstream","wet2wet5_Upstream",341,2.57385212896654,0.0104790589544842,0.691617890995959,"ns"
"grop","poll","other_Downstream","other_Middlestream",341,3.16104707176331,0.00171294697805503,0.113054500551632,"ns"
"grop","poll","other_Downstream","other_Upstream",341,3.20060233892092,0.00150029649999202,0.099019568999473,"ns"
"grop","poll","other_Downstream","wet2wet5_Downstream",341,5.53398758619561,6.24996620034545e-08,4.124977692228e-06,"****"
"grop","poll","other_Downstream","wet2wet5_Middlestream",341,9.62594441306199,1.46788589585083e-19,9.68804691261548e-18,"****"
"grop","poll","other_Downstream","wet2wet5_Upstream",341,7.36240847969529,1.36581093353033e-12,9.01435216130021e-11,"****"
"grop","poll","other_Middlestream","other_Upstream",341,0.561134782167691,0.575074205884233,1,"ns"
"grop","poll","other_Middlestream","wet2wet5_Downstream",341,3.19151436894158,0.0015468714635614,0.102093516595052,"ns"
"grop","poll","other_Middlestream","wet2wet5_Middlestream",341,7.11137248081072,6.78971349080286e-12,4.48121090392989e-10,"****"
"grop","poll","other_Middlestream","wet2wet5_Upstream",341,5.20259932547676,3.39908256959359e-07,2.24339449593177e-05,"****"
