"term",".y.","group1","group2","df","statistic","p","p.adj","p.adj.signif"
"id","poll","1","2",341,-0.651781969941859,0.514980880222548,1,"ns"
"id","poll","1","3",341,0.719682681157443,0.472213344772212,1,"ns"
"id","poll","1","4",341,3.46877300766042,0.000589865534018954,0.038931125245251,"*"
"id","poll","1","5",341,-0.409442844198631,0.682471768079662,1,"ns"
"id","poll","1","7",341,-1.96757448218566,0.0499271525331806,1,"ns"
"id","poll","1","8",341,-2.66530769013604,0.00805773347030882,0.531810409040382,"ns"
"id","poll","1","9",341,-0.463254934714146,0.643477165094914,1,"ns"
"id","poll","1","10",341,-2.15823905612384,0.0316068044220915,1,"ns"
"id","poll","1","11",341,-2.44226216990706,0.0151028695375808,0.99678938948033,"ns"
"id","poll","1","12",341,-3.49490622845057,0.000536831789369289,0.035430898098373,"*"
"id","poll","1","13",341,-3.3716690760177,0.000832908718256317,0.0549719754049169,"ns"
"id","poll","2","3",341,1.30158011582166,0.193938590587395,1,"ns"
"id","poll","2","4",341,4.07691755714228,5.68381758438592e-05,0.0037513196056947,"**"
"id","poll","2","5",341,0.234818150689456,0.814490817169094,1,"ns"
"id","poll","2","7",341,-1.29959820819391,0.194616586547615,1,"ns"
"id","poll","2","8",341,-1.98617775331844,0.0478138554376845,1,"ns"
"id","poll","2","9",341,0.192339897883383,0.847590459563321,1,"ns"
"id","poll","2","10",341,-1.4886934996933,0.137492306359055,1,"ns"
"id","poll","2","11",341,-1.77598214597297,0.0766275338052713,1,"ns"
"id","poll","2","12",341,-2.82608646836298,0.00498982204985088,0.329328255290158,"ns"
"id","poll","2","13",341,-2.69786336623363,0.00732561100852885,0.483490326562904,"ns"
"id","poll","3","4",341,2.42819948924719,0.0156907291961105,1,"ns"
"id","poll","3","5",341,-1.07902353998879,0.281339868656853,1,"ns"
"id","poll","3","7",341,-2.48797538449841,0.0133242948147794,0.879403457775439,"ns"
"id","poll","3","8",341,-3.1159772422471,0.00198899749844884,0.131273834897624,"ns"
"id","poll","3","9",341,-1.13601778219603,0.256746881148575,1,"ns"
"id","poll","3","10",341,-2.65932888492904,0.00819912517965973,0.541142261857542,"ns"
"id","poll","3","11",341,-2.91325765179624,0.00381273330899791,0.251640398393862,"ns"
"id","poll","3","12",341,-3.86091268835714,0.000135139172879454,0.00891918541004395,"**"
"id","poll","3","13",341,-3.74985122730032,0.000207814017196172,0.0137157251349474,"*"
"id","poll","4","5",341,-3.81260001685275,0.000163164862577231,0.0107688809300972,"*"
"id","poll","4","7",341,-5.38567182378839,1.34726302893383e-07,8.89193599096324e-06,"****"
"id","poll","4","8",341,-6.09039889934278,3.03744891784141e-09,2.00471628577533e-07,"****"
"id","poll","4","9",341,-3.92009662664359,0.00010699862747703,0.007061909413484,"**"
"id","poll","4","10",341,-5.57142575552959,5.1352343105169e-08,3.38925464494115e-06,"****"
"id","poll","4","11",341,-5.82201070077647,1.34298919843666e-08,8.86372870968196e-07,"****"
"id","poll","4","12",341,-6.82114675736315,4.12708669038152e-11,2.72387721565181e-09,"****"
"id","poll","4","13",341,-6.72785798103763,7.28766773321084e-11,4.80986070391916e-09,"****"
"id","poll","5","7",341,-1.52506080398865,0.128170828001061,1,"ns"
"id","poll","5","8",341,-2.20724596519311,0.0279624647755521,1,"ns"
"id","poll","5","9",341,-0.046025738749129,0.963316676816804,1,"ns"
"id","poll","5","10",341,-1.71252070306894,0.0877098072040422,1,"ns"
"id","poll","5","11",341,-1.99568528012109,0.0467633010083644,1,"ns"
"id","poll","5","12",341,-3.03528990413671,0.00258782658635776,0.170796554699612,"ns"
"id","poll","5","13",341,-2.9097205600805,0.00385507197060568,0.254434750059975,"ns"
"id","poll","7","8",341,-0.682179017427474,0.495588866424323,1,"ns"
"id","poll","7","9",341,1.50431954747152,0.133424721230368,1,"ns"
"id","poll","7","10",341,-0.190664573938175,0.848901856072719,1,"ns"
"id","poll","7","11",341,-0.490881991771299,0.623825663241579,1,"ns"
"id","poll","7","12",341,-1.56040258026328,0.119592333418911,1,"ns"
"id","poll","7","13",341,-1.42028889788194,0.15643723604302,1,"ns"
"id","poll","8","9",341,2.19839060408761,0.0285927027700387,1,"ns"
"id","poll","8","10",341,0.490007190200616,0.62444391419729,1,"ns"
"id","poll","8","11",341,0.181778088609329,0.855864886533165,1,"ns"
"id","poll","8","12",341,-0.901786426946756,0.367806827776834,1,"ns"
"id","poll","8","13",341,-0.754854167808224,0.450857498987565,1,"ns"
"id","poll","9","10",341,-1.69498412140969,0.0909913284297881,1,"ns"
"id","poll","9","11",341,-1.98282009784859,0.0481895962656329,1,"ns"
"id","poll","9","12",341,-3.0394376455028,0.00255339553678144,0.168524105427575,"ns"
"id","poll","9","13",341,-2.91222700395923,0.00382502604534983,0.252451718993089,"ns"
"id","poll","10","11",341,-0.301786700271911,0.76299863391674,1,"ns"
"id","poll","10","12",341,-1.37294268118299,0.170672332447452,1,"ns"
"id","poll","10","13",341,-1.23119360638255,0.21909892420136,1,"ns"
"id","poll","11","12",341,-1.06521933893134,0.28753034120585,1,"ns"
"id","poll","11","13",341,-0.921881220260657,0.357242305874926,1,"ns"
"id","poll","12","13",341,0.151184058971934,0.879919921416153,1,"ns"
