"grop","variable","n","min","max","median","iqr","mean","sd","se","ci","later_grop"
"dry2dry5_Downstream","poll",32,11.36,31.94,20.335,10.665,20.931,6.03,1.066,2.174,"a"
"dry2dry5_Middlestream","poll",39,3.188,134.8,33.71,18.95,38.291,24.61,3.941,7.978,"bc"
"dry2dry5_Upstream","poll",21,37.87,95.58,65.74,23.58,65.906,16.131,3.52,7.343,"d"
"dry2wet5_Downstream","poll",8,9.723,26.85,19.725,3.987,18.959,6.011,2.125,5.026,"abe"
"dry2wet5_Middlestream","poll",11,18.74,36.46,28.96,13.465,27.566,7.123,2.148,4.785,"abce"
"dry2wet5_Upstream","poll",6,36.53,63.26,43.12,8.09,44.912,9.862,4.026,10.35,"bcdef"
"other_Downstream","poll",44,1.303,30.3,16.96,8.855,16.087,7.333,1.106,2.229,"a"
"other_Middlestream","poll",54,2.922,56.25,22.825,14.27,24.133,11.172,1.52,3.049,"ae"
"other_Upstream","poll",30,21.88,81.05,53.75,21.473,53.724,17.279,3.155,6.452,"df"
"wet2wet5_Downstream","poll",24,7.622,27.51,13.985,3.848,15.502,5.84,1.192,2.466,"a"
"wet2wet5_Middlestream","poll",35,2.622,47.81,14.98,14.06,17.767,11.043,1.867,3.793,"a"
"wet2wet5_Upstream","poll",20,2.109,82.67,42.33,56.933,41.065,28.782,6.436,13.47,"cf"
