"id","variable","n","min","max","median","iqr","mean","sd","se","ci","later_grop"
"1","poll",29,3.608,93.63,62.74,28.73,60.123,20.661,3.837,7.859,"a"
"2","poll",28,12.06,95.58,56.405,27.973,59.111,19.29,3.645,7.48,"a"
"3","poll",20,2.109,56.58,36.64,17.855,34.391,16.861,3.77,7.891,"bc"
"4","poll",26,2.622,134.8,35.225,23.52,38.501,30.611,6.003,12.364,"b"
"5","poll",28,4.019,48.69,25.475,15.428,24.883,11.927,2.254,4.625,"cd"
"7","poll",28,6.256,50.79,35.69,16.86,33.098,11.591,2.19,4.494,"bc"
"8","poll",29,6.26,34.58,20.79,13.47,22.37,8.321,1.545,3.165,"cd"
"9","poll",28,3.14,28.34,16.975,8.89,16.013,6.796,1.284,2.635,"d"
"10","poll",28,7.622,30.3,19.395,14.17,19.198,7.447,1.407,2.888,"d"
"11","poll",27,1.303,31.94,15.57,11.629,15.37,8.655,1.666,3.424,"d"
"12","poll",26,9.146,28.92,17.62,5.953,18.064,5.085,0.997,2.054,"d"
"13","poll",27,7.992,28.4,17.91,6.785,17.747,5.371,1.034,2.125,"d"
