"grop","emmean","se","df","conf.low","conf.high","method"
"dry2dry5_Downstream",20.9312499999999,2.62601823391196,312,15.7643057208783,26.0981942791215,"Emmeans test"
"dry2dry5_Middlestream",38.291,2.37870411000277,312,33.6106701248366,42.9713298751633,"Emmeans test"
"dry2dry5_Upstream",65.9057142857145,3.24162728443322,312,59.5274997950271,72.2839287764019,"Emmeans test"
"dry2wet5_Downstream",18.959125,5.25203646782392,312,8.62523644175681,29.2930135582432,"Emmeans test"
"dry2wet5_Middlestream",27.5663636363637,4.4789517490634,312,18.7535938629377,36.3791334097896,"Emmeans test"
"dry2wet5_Upstream",44.9116666666667,6.06452933698375,312,32.9791199849121,56.8442133484213,"Emmeans test"
"other_Downstream",16.0874318181818,2.2394758745317,312,11.6810469314688,20.4938167048948,"Emmeans test"
"other_Middlestream",24.1330925925926,2.02150977899458,312,20.1555770320077,28.1106081531774,"Emmeans test"
"other_Upstream",53.7236666666667,2.71213996980748,312,48.3872695616481,59.0600637716853,"Emmeans test"
"wet2wet5_Downstream",15.5018333333333,3.03226466849187,312,9.53555999245601,21.4681066742106,"Emmeans test"
"wet2wet5_Middlestream",17.7671714285714,2.51095369744428,312,12.8266277283772,22.7077151287656,"Emmeans test"
"wet2wet5_Upstream",41.0654,3.32167951851785,312,34.5296750139196,47.6011249860804,"Emmeans test"
