"term",".y.","group1","group2","df","statistic","p","p.adj","p.adj.signif"
"grop","poll","dry2dry5_Downstream","dry2dry5_Middlestream",312,-4.899467243002,1.54647093124271e-06,0.000102067081462019,"***"
"grop","poll","dry2dry5_Downstream","dry2dry5_Upstream",312,-10.780526567648,3.03516814459266e-23,2.00321097543115e-21,"****"
"grop","poll","dry2dry5_Downstream","dry2wet5_Downstream",312,0.335854907873767,0.73720602235788,1,"ns"
"grop","poll","dry2dry5_Downstream","dry2wet5_Middlestream",312,-1.27794670541591,0.20221818912782,1,"ns"
"grop","poll","dry2dry5_Downstream","dry2wet5_Upstream",312,-3.62863106592962,0.000332800431812879,0.02196482849965,"*"
"grop","poll","dry2dry5_Downstream","other_Downstream",312,1.40349101875076,0.161464940126453,1,"ns"
"grop","poll","dry2dry5_Downstream","other_Middlestream",312,-0.966161871437034,0.334711482646629,1,"ns"
"grop","poll","dry2dry5_Downstream","other_Upstream",312,-8.68641289191665,2.13823221890086e-16,1.41123326447457e-14,"****"
"grop","poll","dry2dry5_Downstream","wet2wet5_Downstream",312,1.35352736882617,0.176866966221719,1,"ns"
"grop","poll","dry2dry5_Downstream","wet2wet5_Middlestream",312,0.870855588200693,0.384502570276199,1,"ns"
"grop","poll","dry2dry5_Downstream","wet2wet5_Upstream",312,-4.75498212308498,3.03641008728314e-06,0.000200403065760687,"***"
"grop","poll","dry2dry5_Middlestream","dry2dry5_Upstream",312,-6.86806115206978,3.53082396430422e-11,2.33034381644078e-09,"****"
"grop","poll","dry2dry5_Middlestream","dry2wet5_Downstream",312,3.35296963101409,0.000897963217705349,0.0592655723685531,"ns"
"grop","poll","dry2dry5_Middlestream","dry2wet5_Middlestream",312,2.11472302111239,0.0352462713056621,1,"ns"
"grop","poll","dry2dry5_Middlestream","dry2wet5_Upstream",312,-1.01632045891623,0.31026426961103,1,"ns"
"grop","poll","dry2dry5_Middlestream","other_Downstream",312,6.7962546259219,5.45762516712759e-11,3.60203261030421e-09,"****"
"grop","poll","dry2dry5_Middlestream","other_Middlestream",312,4.53538386191862,8.21005527800908e-06,0.000541863648348599,"***"
"grop","poll","dry2dry5_Middlestream","other_Upstream",312,-4.27795916677263,2.51129295435832e-05,0.00165745334987649,"**"
"grop","poll","dry2dry5_Middlestream","wet2wet5_Downstream",312,5.91321088608539,8.80253108410629e-09,5.80967051551015e-07,"****"
"grop","poll","dry2dry5_Middlestream","wet2wet5_Middlestream",312,5.93384390776528,7.86338907626798e-09,5.18983679033686e-07,"****"
"grop","poll","dry2dry5_Middlestream","wet2wet5_Upstream",312,-0.679074847615085,0.497593871098502,1,"ns"
"grop","poll","dry2dry5_Upstream","dry2wet5_Downstream",312,7.60653663502892,3.34641332422159e-13,2.20863279398625e-11,"****"
"grop","poll","dry2dry5_Upstream","dry2wet5_Middlestream",312,6.93430639646137,2.35594635332284e-11,1.55492459319308e-09,"****"
"grop","poll","dry2dry5_Upstream","dry2wet5_Upstream",312,3.05300026466543,0.002460649137232,0.162402843057312,"ns"
"grop","poll","dry2dry5_Upstream","other_Downstream",312,12.6443157263615,7.20197038185254e-30,4.75330045202268e-28,"****"
"grop","poll","dry2dry5_Upstream","other_Middlestream",312,10.9343986123234,8.93772013732195e-24,5.89889529063249e-22,"****"
"grop","poll","dry2dry5_Upstream","other_Upstream",312,2.88225733450252,0.00422234031463885,0.278674460766164,"ns"
"grop","poll","dry2dry5_Upstream","wet2wet5_Downstream",312,11.3553431290508,3.03773341639878e-25,2.00490405482319e-23,"****"
"grop","poll","dry2dry5_Upstream","wet2wet5_Middlestream",312,11.7400479229383,1.32144013477127e-26,8.7215048894904e-25,"****"
"grop","poll","dry2dry5_Upstream","wet2wet5_Upstream",312,5.35201197771701,1.68809112855974e-07,1.11414014484943e-05,"****"
"grop","poll","dry2wet5_Downstream","dry2wet5_Middlestream",312,-1.24696898902249,0.213344141203069,1,"ns"
"grop","poll","dry2wet5_Downstream","dry2wet5_Upstream",312,-3.23492168616349,0.00134727084231142,0.0889198755925534,"ns"
"grop","poll","dry2wet5_Downstream","other_Downstream",312,0.502961763978477,0.615346011732449,1,"ns"
