"term",".y.","group1","group2","df","statistic","p","p.adj","p.adj.signif"
"id","poll","1","2",312,0.262063224694184,0.793445632915822,1,"ns"
"id","poll","1","3",312,6.07223788374294,3.6616758159437e-09,2.41670603852284e-07,"****"
"id","poll","1","4",312,5.49101917537472,8.29383067229357e-08,5.47392824371376e-06,"****"
"id","poll","1","5",312,9.12288659427716,9.28543213909033e-18,6.12838521179962e-16,"****"
"id","poll","1","7",312,6.99623055334073,1.61011524033185e-11,1.06267605861902e-09,"****"
"id","poll","1","8",312,9.86035857009735,3.83721749417721e-20,2.53256354615696e-18,"****"
"id","poll","1","9",312,11.4190423491424,1.81274662290854e-25,1.19641277111964e-23,"****"
"id","poll","1","10",312,10.5946855339281,1.31523118466589e-22,8.68052581879487e-21,"****"
"id","poll","1","11",312,11.478096996154,1.12209579729951e-25,7.40583226217674e-24,"****"
"id","poll","1","12",312,10.6811515584206,6.65773396349599e-23,4.39410441590735e-21,"****"
"id","poll","1","13",312,10.8682638762362,1.51298491067369e-23,9.98570041044638e-22,"****"
"id","poll","2","3",312,5.79129905374517,1.70411152782364e-08,1.1247136083636e-06,"****"
"id","poll","2","4",312,5.1903073717534,3.79067355831975e-07,2.50184454849104e-05,"****"
"id","poll","2","5",312,8.78410484012718,1.06779785454794e-16,7.04746584001642e-15,"****"
"id","poll","2","7",312,6.67586175217647,1.12448466171808e-10,7.42159876733935e-09,"****"
"id","poll","2","8",312,9.51141824602139,5.29869299619284e-19,3.49713737748728e-17,"****"
"id","poll","2","9",312,11.0603800843934,3.26668226048219e-24,2.15601029191824e-22,"****"
"id","poll","2","10",312,10.2431606919639,2.0398513034836e-21,1.34630186029918e-19,"****"
"id","poll","2","11",312,11.1231106687458,1.975432676363e-24,1.30378556639958e-22,"****"
"id","poll","2","12",312,10.3371740298477,9.84067944894357e-22,6.49484843630276e-20,"****"
"id","poll","2","13",312,10.5184611763805,2.39193713504456e-22,1.57867850912941e-20,"****"
"id","poll","3","4",312,-0.947890330629501,0.343918875454717,1,"ns"
"id","poll","3","5",312,2.22745489363478,0.0266299151839153,1,"ns"
"id","poll","3","7",312,0.302901067009859,0.762167112757041,1,"ns"
"id","poll","3","8",312,2.83667400981953,0.00485678272794736,0.320547660044526,"ns"
"id","poll","3","9",312,4.30540039092676,2.23470804936238e-05,0.00147490731257917,"**"
"id","poll","3","10",312,3.55938456481956,0.000429579825969609,0.0283522685139942,"*"
"id","poll","3","11",312,4.42226047986045,1.35055116679544e-05,0.000891363770084993,"***"
"id","poll","3","12",312,3.76510341238148,0.0001989185879566,0.0131286268051356,"*"
"id","poll","3","13",312,3.86945531686304,0.000132830728122358,0.00876682805607561,"**"
"id","poll","4","5",312,3.42959411410842,0.000685780987510819,0.0452615451757141,"*"
"id","poll","4","7",312,1.36076091401183,0.174571392106431,1,"ns"
"id","poll","4","8",312,4.09664989276258,5.34774102041347e-05,0.00352950907347289,"**"
"id","poll","4","9",312,5.66331840558633,3.37139137467968e-08,2.22511830728859e-06,"****"
"id","poll","4","10",312,4.86137548900152,1.85039418694317e-06,0.000122126016338249,"***"
"id","poll","4","11",312,5.77422192233432,1.86777939435312e-08,1.23273440027306e-06,"****"
"id","poll","4","12",312,5.0541227255489,7.38022931781242e-07,4.8709513497562e-05,"****"
"id","poll","4","13",312,5.1806754053091,3.97537888303082e-07,2.62375006280034e-05,"****"
"id","poll","5","7",312,-2.10824308795071,0.03580708073584,1,"ns"
"id","poll","5","8",312,0.650594876438384,0.515786846126859,1,"ns"
"id","poll","5","9",312,2.27627524426622,0.0235068194994439,1,"ns"
"id","poll","5","10",312,1.45905585183669,0.14555574881739,1,"ns"
"id","poll","5","11",312,2.41922764449984,0.0161251534696744,1,"ns"
"id","poll","5","12",312,1.71727254398588,0.0869217128185094,1,"ns"
"id","poll","5","13",312,1.81457815213455,0.0705490169937338,1,"ns"
"id","poll","7","8",312,2.77725091737483,0.00581373193539402,0.383706307736005,"ns"
"id","poll","7","9",312,4.38451833221692,1.59096205383259e-05,0.00105003495552951,"**"
"id","poll","7","10",312,3.5672989397874,0.000417311645285452,0.0275425685888398,"*"
"id","poll","7","11",312,4.5082169676205,9.26096207502607e-06,0.00061122349695172,"***"
"id","poll","7","12",312,3.78610574408247,0.000183522384438495,0.0121124773729407,"*"
"id","poll","7","13",312,3.90356747525521,0.00011618012005776,0.00766788792381214,"**"
"id","poll","8","9",312,1.64556087842682,0.100861190382846,1,"ns"
"id","poll","8","10",312,0.821204063212499,0.412157076529568,1,"ns"
"id","poll","8","11",312,1.79541709753732,0.0735548829764426,1,"ns"
"id","poll","8","12",312,1.09348249028327,0.275025543506981,1,"ns"
"id","poll","8","13",312,1.18558397761954,0.236688793845205,1,"ns"
"id","poll","9","10",312,-0.817219392429526,0.414426654618841,1,"ns"
"id","poll","9","11",312,0.163740737447713,0.870041262815468,1,"ns"
"id","poll","9","12",312,-0.516451747492032,0.60590477862767,1,"ns"
"id","poll","9","13",312,-0.440908754917579,0.659584410495547,1,"ns"
"id","poll","10","11",312,0.973496782748851,0.331060594375219,1,"ns"
"id","poll","10","12",312,0.28549116909278,0.775457304973133,1,"ns"
"id","poll","10","13",312,0.368847290383559,0.712491721348858,1,"ns"
"id","poll","11","12",312,-0.67264160420142,0.501673184250535,1,"ns"
"id","poll","11","13",312,-0.599226517418919,0.549456702184293,1,"ns"
"id","poll","12","13",312,0.0790950871762075,0.937007695992497,1,"ns"
