"grop","variable","n","min","max","median","iqr","mean","sd","se","ci","later_grop"
"dry2dry5_Downstream","poll",32,3.242,20.62,10.09,7.803,10.506,5.248,0.928,1.892,"a"
"dry2dry5_Middlestream","poll",39,0,21.39,7.654,10.362,8.769,6.029,0.965,1.954,"a"
"dry2dry5_Upstream","poll",21,0,14.6,6.754,6.22,6.252,4.368,0.953,1.988,"a"
"dry2wet5_Downstream","poll",8,15.48,18.98,16.82,1.902,17.019,1.233,0.436,1.031,"ab"
"dry2wet5_Middlestream","poll",11,9.793,19.82,16.11,3.865,15.706,3.47,1.046,2.331,"a"
"dry2wet5_Upstream","poll",6,9.911,18.44,15.505,3.007,14.837,3.016,1.231,3.165,"ab"
"other_Downstream","poll",44,3.421,44.83,16.06,7.032,16.492,8.471,1.277,2.575,"a"
"other_Middlestream","poll",54,1.573,18.53,14.375,6.26,12.496,4.608,0.627,1.258,"a"
"other_Upstream","poll",30,0,17.1,10.385,4.642,9.207,4.185,0.764,1.563,"a"
"wet2wet5_Downstream","poll",24,6.95,277.2,18.695,12.162,39.43,57.812,11.801,24.412,"b"
"wet2wet5_Middlestream","poll",35,0,68.43,16.38,15.753,18.026,14.808,2.503,5.087,"a"
"wet2wet5_Upstream","poll",20,0.475,18.92,7.601,10.765,8.903,5.877,1.314,2.751,"a"
