"grop","emmean","se","df","conf.low","conf.high","method"
"dry2dry5_Downstream",10.50553125,3.04373025851285,312,4.51669825435697,16.4943642456431,"Emmeans test"
"dry2dry5_Middlestream",8.76907692307692,2.75707669587607,312,3.34426247324173,14.1938913729121,"Emmeans test"
"dry2dry5_Upstream",6.25164285714282,3.75726220215614,312,-1.14113309158704,13.6444188058727,"Emmeans test"
"dry2wet5_Downstream",17.01875,6.08746051702569,312,5.04108400871394,28.9964159912861,"Emmeans test"
"dry2wet5_Middlestream",15.7059090909091,5.19140377206549,312,5.49132121246739,25.9204969693508,"Emmeans test"
"dry2wet5_Upstream",14.8368333333333,7.02919393637201,312,1.0062159646684,28.6674507019982,"Emmeans test"
"other_Downstream",16.4920227272727,2.59570188603274,312,11.3847287880519,21.5993166664936,"Emmeans test"
"other_Middlestream",12.4961481481481,2.34306464545733,312,7.88594235859317,17.1063539377031,"Emmeans test"
"other_Upstream",9.20697666666667,3.14355109375143,312,3.02173654524187,15.3922167880915,"Emmeans test"
"wet2wet5_Downstream",39.43,3.514596968186,312,32.5146913156675,46.3453086843324,"Emmeans test"
"wet2wet5_Middlestream",18.0256571428571,2.91036278725706,312,12.2992375165225,23.7520767691918,"Emmeans test"
"wet2wet5_Upstream",8.90281,3.85004808002948,312,1.32746888295948,16.4781511170405,"Emmeans test"
