"term",".y.","group1","group2","df","statistic","p","p.adj","p.adj.signif"
"grop","poll","dry2dry5_Downstream","dry2dry5_Middlestream",312,0.422824683221071,0.672714446588673,1,"ns"
"grop","poll","dry2dry5_Downstream","dry2dry5_Upstream",312,0.879734537271702,0.379680215406152,1,"ns"
"grop","poll","dry2dry5_Downstream","dry2wet5_Downstream",312,-0.956983611579439,0.339316460199554,1,"ns"
"grop","poll","dry2dry5_Downstream","dry2wet5_Middlestream",312,-0.864153418092265,0.388167483845761,1,"ns"
"grop","poll","dry2dry5_Downstream","dry2wet5_Upstream",312,-0.565452514218643,0.57217240998919,1,"ns"
"grop","poll","dry2dry5_Downstream","other_Downstream",312,-1.49653110822315,0.135526185962448,1,"ns"
"grop","poll","dry2dry5_Downstream","other_Middlestream",312,-0.518237909715477,0.604659595794098,1,"ns"
"grop","poll","dry2dry5_Downstream","other_Upstream",312,0.296769202958319,0.766840184413391,1,"ns"
"grop","poll","dry2dry5_Downstream","wet2wet5_Downstream",312,-6.2211523466989,1.58564804832648e-09,1.04652771189547e-07,"****"
"grop","poll","dry2dry5_Downstream","wet2wet5_Middlestream",312,-1.78572907643828,0.0751142796316389,1,"ns"
"grop","poll","dry2dry5_Downstream","wet2wet5_Upstream",312,0.326561633226604,0.74421841914355,1,"ns"
"grop","poll","dry2dry5_Middlestream","dry2dry5_Upstream",312,0.540185944229838,0.58945417366528,1,"ns"
"grop","poll","dry2dry5_Middlestream","dry2wet5_Downstream",312,-1.23447970801174,0.217953159617232,1,"ns"
"grop","poll","dry2dry5_Middlestream","dry2wet5_Middlestream",312,-1.18011323268291,0.238854148064312,1,"ns"
"grop","poll","dry2dry5_Middlestream","dry2wet5_Upstream",312,-0.803616154824438,0.422230509504134,1,"ns"
"grop","poll","dry2dry5_Middlestream","other_Downstream",312,-2.03948930313553,0.0422434212062956,1,"ns"
"grop","poll","dry2dry5_Middlestream","other_Middlestream",312,-1.03008781648505,0.303766648254995,1,"ns"
"grop","poll","dry2dry5_Middlestream","other_Upstream",312,-0.104727786738755,0.916659105137522,1,"ns"
"grop","poll","dry2dry5_Middlestream","wet2wet5_Downstream",312,-6.86391227458534,3.62110793443789e-11,2.38993123672901e-09,"****"
"grop","poll","dry2dry5_Middlestream","wet2wet5_Middlestream",312,-2.30897847385997,0.0215979025140612,1,"ns"
