"term",".y.","group1","group2","df","statistic","p","p.adj","p.adj.signif"
"id","poll","1","2",312,-0.197468583274958,0.843589449021813,1,"ns"
"id","poll","1","3",312,-0.593990077205604,0.552949171995731,1,"ns"
"id","poll","1","4",312,-1.13125570240904,0.258816260492069,1,"ns"
"id","poll","1","5",312,-0.619264027024219,0.536194357440375,1,"ns"
"id","poll","1","7",312,-0.678354737930414,0.498049608237613,1,"ns"
"id","poll","1","8",312,-1.37188430004672,0.171085090373586,1,"ns"
"id","poll","1","9",312,-1.84457259674906,0.0660475092349121,1,"ns"
"id","poll","1","10",312,-1.72008068754724,0.0864093677677286,1,"ns"
"id","poll","1","11",312,-2.86836811225269,0.00440715669801634,0.290872342069079,"ns"
"id","poll","1","12",312,-2.06736334162842,0.0395242340670595,1,"ns"
"id","poll","1","13",312,-3.3460179940814,0.000919972028275077,0.0607181538661551,"ns"
"id","poll","2","3",312,-0.41100489026545,0.681351096816728,1,"ns"
"id","poll","2","4",312,-0.929725885064342,0.353231793245441,1,"ns"
"id","poll","2","5",312,-0.41814346640744,0.676129875358733,1,"ns"
"id","poll","2","7",312,-0.476722559797277,0.633893405164244,1,"ns"
"id","poll","2","8",312,-1.162328394812,0.245990412263476,1,"ns"
"id","poll","2","9",312,-1.63284310424435,0.103510746693443,1,"ns"
"id","poll","2","10",312,-1.50942906735808,0.132201175767974,1,"ns"
"id","poll","2","11",312,-2.65001569004148,0.00845904689543346,0.558297095098608,"ns"
"id","poll","2","12",312,-1.8580299900664,0.0641065597905555,1,"ns"
"id","poll","2","13",312,-3.12360551181929,0.00195414755334474,0.128973738520753,"ns"
"id","poll","3","4",312,-0.44677893609627,0.655344642651258,1,"ns"
"id","poll","3","5",312,0.029293875557519,0.976648940364951,1,"ns"
"id","poll","3","7",312,-0.0241812758555072,0.980723471590594,1,"ns"
"id","poll","3","8",312,-0.645518229758242,0.519065843366039,1,"ns"
"id","poll","3","9",312,-1.07957011150353,0.281167502686595,1,"ns"
"id","poll","3","10",312,-0.966909024977896,0.334338405316109,1,"ns"
"id","poll","3","11",312,-2.0149261777515,0.0447698762074926,1,"ns"
"id","poll","3","12",312,-1.29682843788501,0.195648457406318,1,"ns"
"id","poll","3","13",312,-2.44790909087306,0.014919471293129,0.984685105346513,"ns"
"id","poll","4","5",312,0.519398873605686,0.603850874957638,1,"ns"
"id","poll","4","7",312,0.461914813096204,0.644464323707288,1,"ns"
"id","poll","4","8",312,-0.202688958438246,0.839510265214781,1,"ns"
"id","poll","4","9",312,-0.672594095926604,0.501703375231368,1,"ns"
"id","poll","4","10",312,-0.551487066890202,0.581694573500329,1,"ns"
"id","poll","4","11",312,-1.67980894612299,0.0939954772525643,1,"ns"
"id","poll","4","12",312,-0.911576534809327,0.362695450593057,1,"ns"
"id","poll","4","13",312,-2.14470239722836,0.0327486997562088,1,"ns"
"id","poll","5","7",312,-0.0585790933898375,0.953324863512718,1,"ns"
"id","poll","5","8",312,-0.740532951062734,0.45953359492702,1,"ns"
"id","poll","5","9",312,-1.21469963783691,0.22539917687539,1,"ns"
"id","poll","5","10",312,-1.09128560095064,0.275989246414462,1,"ns"
"id","poll","5","11",312,-2.23569096541645,0.0260790538066523,1,"ns"
"id","poll","5","12",312,-1.44770297860775,0.148704209920683,1,"ns"
"id","poll","5","13",312,-2.70928078719426,0.00711543995428403,0.469619036982746,"ns"
"id","poll","7","8",312,-0.681442240156541,0.496097188689703,1,"ns"
"id","poll","7","9",312,-1.15612054444707,0.248516358740927,1,"ns"
"id","poll","7","10",312,-1.03270650756081,0.302541092083238,1,"ns"
"id","poll","7","11",312,-2.1776468521219,0.030181197766238,1,"ns"
"id","poll","7","12",312,-1.39021891809827,0.16545336903572,1,"ns"
"id","poll","7","13",312,-2.65123667389971,0.00842921002067789,0.556327861364741,"ns"
"id","poll","8","9",312,-0.484775618662103,0.62817568597947,1,"ns"
"id","poll","8","10",312,-0.360283709460286,0.718878757588539,1,"ns"
"id","poll","8","11",312,-1.52120447303435,0.129221324774229,1,"ns"
"id","poll","8","12",312,-0.733418680781137,0.463853825827117,1,"ns"
"id","poll","8","13",312,-1.99885435486305,0.0464913434112972,1,"ns"
"id","poll","9","10",312,0.12341403688626,0.901858706321355,1,"ns"
"id","poll","9","11",312,-1.03208470732296,0.302831797062944,1,"ns"
"id","poll","9","12",312,-0.25571000907546,0.798343265479073,1,"ns"
"id","poll","9","13",312,-1.50567452910077,0.133162452504718,1,"ns"
"id","poll","10","11",312,-1.15437165177073,0.249231255168044,1,"ns"
"id","poll","10","12",312,-0.376817038111861,0.70656572532429,1,"ns"
"id","poll","10","13",312,-1.62796147354854,0.104542408167064,1,"ns"
"id","poll","11","12",312,0.759672819442377,0.448023786524026,1,"ns"
"id","poll","11","13",312,-0.469342293630037,0.639152805995169,1,"ns"
"id","poll","12","13",312,-1.22456627054775,0.221662469172462,1,"ns"
