"grop","variable","n","min","max","median","iqr","mean","sd","se","ci","later_grop"
"dry2dry5_Downstream","poll",16,0,0.01,0.004,0.004,0.004,0.003,0.001,0.002,"a"
"dry2dry5_Middlestream","poll",19,0,0.013,0.007,0.005,0.006,0.004,0.001,0.002,"a"
"dry2dry5_Upstream","poll",12,0,0.01,0.006,0.005,0.005,0.004,0.001,0.002,"a"
"dry2wet5_Downstream","poll",12,0,0.022,0,0.008,0.005,0.007,0.002,0.004,"a"
"dry2wet5_Middlestream","poll",15,0,0.257,0,0.005,0.02,0.066,0.017,0.036,"a"
"dry2wet5_Upstream","poll",9,0,0.003,0,0,0.001,0.001,0,0.001,"a"
"other_Downstream","poll",36,0,0.042,0.003,0.004,0.004,0.007,0.001,0.002,"a"
"other_Middlestream","poll",42,0,0.068,0.004,0.014,0.011,0.017,0.003,0.005,"a"
"other_Upstream","poll",21,0,0.007,0,0.002,0.001,0.002,0,0.001,"a"
"wet2wet5_Downstream","poll",12,0,0.06,0.006,0.006,0.011,0.016,0.005,0.01,"a"
"wet2wet5_Middlestream","poll",20,0,0.053,0.01,0.007,0.014,0.014,0.003,0.007,"a"
"wet2wet5_Upstream","poll",11,0,0.009,0.004,0.007,0.004,0.003,0.001,0.002,"a"
