"id","variable","n","min","max","median","iqr","mean","sd","se","ci","later_grop"
"1","poll",20,0,0.008,0,0.005,0.002,0.003,0.001,0.001,"a"
"2","poll",19,0,0.01,0,0.004,0.002,0.003,0.001,0.002,"a"
"3","poll",14,0,0.01,0,0.006,0.003,0.004,0.001,0.002,"a"
"4","poll",18,0,0.257,0.019,0.046,0.037,0.06,0.014,0.03,"b"
"5","poll",18,0,0.017,0.004,0.01,0.005,0.006,0.001,0.003,"a"
"7","poll",20,0,0.024,0.002,0.005,0.004,0.006,0.001,0.003,"a"
"8","poll",20,0,0.036,0.006,0.008,0.007,0.009,0.002,0.004,"a"
"9","poll",20,0,0.016,0.007,0.008,0.008,0.006,0.001,0.003,"a"
"10","poll",19,0,0.042,0.005,0.008,0.008,0.011,0.002,0.005,"a"
"11","poll",19,0,0.06,0.004,0.006,0.007,0.013,0.003,0.006,"a"
"12","poll",19,0,0.011,0.003,0.006,0.003,0.003,0.001,0.001,"a"
"13","poll",19,0,0.014,0.003,0.005,0.003,0.004,0.001,0.002,"a"
