"grop","emmean","se","df","conf.low","conf.high","method"
"dry2dry5_Downstream",0.00437812500000004,0.00491368529224477,213,-0.00530755399261463,0.0140638039926147,"Emmeans test"
"dry2dry5_Middlestream",0.00641210526315789,0.00450910686931727,213,-0.0024760833533436,0.0153002938796594,"Emmeans test"
"dry2dry5_Upstream",0.00542000000000001,0.00567383505238125,213,-0.00576405874734077,0.0166040587473408,"Emmeans test"
"dry2wet5_Downstream",0.00466416666666664,0.00567383505238123,213,-0.0065198920806741,0.0158482254140074,"Emmeans test"
"dry2wet5_Middlestream",0.0199720000000001,0.00507483234809822,213,0.00996867375063805,0.0299753262493622,"Emmeans test"
"dry2wet5_Upstream",0.000530000000000001,0.00655158038965969,213,-0.0123842386568196,0.0134442386568196,"Emmeans test"
"other_Downstream",0.00384499999999999,0.00327579019482984,213,-0.00261211932840979,0.0103021193284098,"Emmeans test"
"other_Middlestream",0.0108009523809524,0.00303279240501131,213,0.00482282152008077,0.016779083241824,"Emmeans test"
"other_Upstream",0.0010590476190476,0.00428901615102912,213,-0.00739530612203818,0.00951340136013337,"Emmeans test"
"wet2wet5_Downstream",0.0114933333333333,0.00567383505238124,213,0.000309274585992558,0.0226773920806741,"Emmeans test"
"wet2wet5_Middlestream",0.0136125,0.00439493373340008,213,0.00494936534570877,0.0222756346542912,"Emmeans test"
"wet2wet5_Upstream",0.00389181818181818,0.0059261274371868,213,-0.00778955020302919,0.0155731865666656,"Emmeans test"
