"term",".y.","group1","group2","df","statistic","p","p.adj","p.adj.signif"
"grop","poll","dry2dry5_Downstream","dry2dry5_Middlestream",213,-0.304987594796477,0.760673408129071,1,"ns"
"grop","poll","dry2dry5_Downstream","dry2dry5_Upstream",213,-0.138809722764572,0.8897316597011,1,"ns"
"grop","poll","dry2dry5_Downstream","dry2wet5_Downstream",213,-0.0381095279655506,0.96963604836932,1,"ns"
"grop","poll","dry2dry5_Downstream","dry2wet5_Middlestream",213,-2.2075548014447,0.0283425528137288,1,"ns"
"grop","poll","dry2dry5_Downstream","dry2wet5_Upstream",213,0.469886625349023,0.638916729699629,1,"ns"
"grop","poll","dry2dry5_Downstream","other_Downstream",213,0.0902757882905154,0.928152893588329,1,"ns"
"grop","poll","dry2dry5_Downstream","other_Middlestream",213,-1.11231952556075,0.26725462093464,1,"ns"
"grop","poll","dry2dry5_Downstream","other_Upstream",213,0.508884034009314,0.611360231862978,1,"ns"
"grop","poll","dry2dry5_Downstream","wet2wet5_Downstream",213,-0.947964099495811,0.344221982840871,1,"ns"
"grop","poll","dry2dry5_Downstream","wet2wet5_Middlestream",213,-1.40076059696064,0.162740818739102,1,"ns"
"grop","poll","dry2dry5_Downstream","wet2wet5_Upstream",213,0.0631709606567474,0.949689609829287,1,"ns"
"grop","poll","dry2dry5_Middlestream","dry2dry5_Upstream",213,0.136891663533134,0.891245732232548,1,"ns"
"grop","poll","dry2dry5_Middlestream","dry2wet5_Downstream",213,0.241182292961368,0.809645841586747,1,"ns"
"grop","poll","dry2dry5_Middlestream","dry2wet5_Middlestream",213,-1.99743180412619,0.0470507111886908,1,"ns"
"grop","poll","dry2dry5_Middlestream","dry2wet5_Upstream",213,0.739578883493249,0.460369869463362,1,"ns"
"grop","poll","dry2dry5_Middlestream","other_Downstream",213,0.460599067312444,0.645556181778175,1,"ns"
"grop","poll","dry2dry5_Middlestream","other_Middlestream",213,-0.807643406570866,0.420196902293759,1,"ns"
"grop","poll","dry2dry5_Middlestream","other_Upstream",213,0.860183372373884,0.390655117642514,1,"ns"
"grop","poll","dry2dry5_Middlestream","wet2wet5_Downstream",213,-0.701112864882441,0.483997826754339,1,"ns"
"grop","poll","dry2dry5_Middlestream","wet2wet5_Middlestream",213,-1.14353239332041,0.254101185631182,1,"ns"
"grop","poll","dry2dry5_Middlestream","wet2wet5_Upstream",213,0.338450531131496,0.735357080720438,1,"ns"
"grop","poll","dry2dry5_Upstream","dry2wet5_Downstream",213,0.0941964069298335,0.925041688534692,1,"ns"
"grop","poll","dry2dry5_Upstream","dry2wet5_Middlestream",213,-1.91165592632217,0.057262465389246,1,"ns"
"grop","poll","dry2dry5_Upstream","dry2wet5_Upstream",213,0.564213873016714,0.573202206881007,1,"ns"
"grop","poll","dry2dry5_Upstream","other_Downstream",213,0.240400011344718,0.810251385683766,1,"ns"
"grop","poll","dry2dry5_Upstream","other_Middlestream",213,-0.836392650664379,0.403871378399734,1,"ns"
"grop","poll","dry2dry5_Upstream","other_Upstream",213,0.613136705351443,0.540440089076847,1,"ns"
"grop","poll","dry2dry5_Upstream","wet2wet5_Downstream",213,-0.756894612684224,0.449949417231861,1,"ns"
"grop","poll","dry2dry5_Upstream","wet2wet5_Middlestream",213,-1.14151008496698,0.254939413044375,1,"ns"
"grop","poll","dry2dry5_Upstream","wet2wet5_Upstream",213,0.186264781311535,0.852414399264303,1,"ns"
"grop","poll","dry2wet5_Downstream","dry2wet5_Middlestream",213,-2.01094765742295,0.0455915033547537,1,"ns"
"grop","poll","dry2wet5_Downstream","dry2wet5_Upstream",213,0.47700494615472,0.633847632495461,1,"ns"
"grop","poll","dry2wet5_Downstream","other_Downstream",213,0.125033445053889,0.900614998806436,1,"ns"
"grop","poll","dry2wet5_Downstream","other_Middlestream",213,-0.95387621126324,0.341227558006591,1,"ns"
"grop","poll","dry2wet5_Downstream","other_Upstream",213,0.50686882638561,0.612771178306505,1,"ns"
"grop","poll","dry2wet5_Downstream","wet2wet5_Downstream",213,-0.851091019614059,0.395674577211537,1,"ns"
"grop","poll","dry2wet5_Downstream","wet2wet5_Middlestream",213,-1.24682486953265,0.213831043924142,1,"ns"
"grop","poll","dry2wet5_Downstream","wet2wet5_Upstream",213,0.0941388779234103,0.925087332423486,1,"ns"
"grop","poll","dry2wet5_Middlestream","dry2wet5_Upstream",213,2.34603708618263,0.0198929061394543,1,"ns"
"grop","poll","dry2wet5_Middlestream","other_Downstream",213,2.66991877163184,0.00817202029570653,0.539353339516631,"ns"
"grop","poll","dry2wet5_Middlestream","other_Middlestream",213,1.55125954343881,0.122324035440533,1,"ns"
"grop","poll","dry2wet5_Middlestream","other_Upstream",213,2.84640062816688,0.00485380346472534,0.320351028671873,"ns"
"grop","poll","dry2wet5_Middlestream","wet2wet5_Downstream",213,1.11381895139113,0.266612160203214,1,"ns"
"grop","poll","dry2wet5_Middlestream","wet2wet5_Middlestream",213,0.947288462446645,0.344565258385514,1,"ns"
"grop","poll","dry2wet5_Middlestream","wet2wet5_Upstream",213,2.06100442444246,0.0405172101627571,1,"ns"
"grop","poll","dry2wet5_Upstream","other_Downstream",213,-0.452566550636299,0.651321490045772,1,"ns"
"grop","poll","dry2wet5_Upstream","other_Middlestream",213,-1.42267008179817,0.156294683279599,1,"ns"
"grop","poll","dry2wet5_Upstream","other_Upstream",213,-0.0675612552490012,0.946198275134559,1,"ns"
