"term",".y.","group1","group2","df","statistic","p","p.adj","p.adj.signif"
"id","poll","1","2",213,0.00242873377501291,0.998064425858725,1,"ns"
"id","poll","1","3",213,-0.0824512807152352,0.934365288222743,1,"ns"
"id","poll","1","4",213,-5.91703622722799,1.29436518010075e-08,8.54281018866492e-07,"****"
"id","poll","1","5",213,-0.509014677040369,0.611268812264968,1,"ns"
"id","poll","1","7",213,-0.2719476684048,0.785925673669403,1,"ns"
"id","poll","1","8",213,-0.87672160449168,0.381625582214488,1,"ns"
"id","poll","1","9",213,-0.896433013426732,0.371033558945798,1,"ns"
"id","poll","1","10",213,-0.972327254434084,0.331990654306111,1,"ns"
"id","poll","1","11",213,-0.708519641782852,0.479397300773413,1,"ns"
"id","poll","1","12",213,-0.142932795147211,0.886478377549294,1,"ns"
"id","poll","1","13",213,-0.161329547248963,0.871986771359865,1,"ns"
"id","poll","2","3",213,-0.0837811536665226,0.933309119478322,1,"ns"
"id","poll","2","4",213,-5.84699480236166,1.86279410813779e-08,1.22944411137094e-06,"****"
"id","poll","2","5",213,-0.505151399384822,0.613974776030889,1,"ns"
"id","poll","2","7",213,-0.27086725298979,0.786755435131097,1,"ns"
"id","poll","2","8",213,-0.867837327471916,0.386460076413419,1,"ns"
"id","poll","2","9",213,-0.887294384990373,0.375921206868183,1,"ns"
"id","poll","2","10",213,-0.962494418495898,0.336892702788173,1,"ns"
"id","poll","2","11",213,-0.702005272694342,0.483442256297057,1,"ns"
"id","poll","2","12",213,-0.143533009229033,0.886004941981021,1,"ns"
"id","poll","2","13",213,-0.161698346431958,0.871696683627691,1,"ns"
"id","poll","3","4",213,-5.31410678243489,2.69503959276108e-07,1.77872613122231e-05,"****"
"id","poll","3","5",213,-0.3834560187108,0.701764126153958,1,"ns"
"id","poll","3","7",213,-0.164337207064613,0.869621534629652,1,"ns"
"id","poll","3","8",213,-0.713160611254951,0.476526975347265,1,"ns"
"id","poll","3","9",213,-0.731048423390376,0.465552997370493,1,"ns"
"id","poll","3","10",213,-0.802803613987647,0.422983124787685,1,"ns"
"id","poll","3","11",213,-0.562858628989388,0.57412311335355,1,"ns"
"id","poll","3","12",213,-0.0484317477203627,0.961417539784334,1,"ns"
"id","poll","3","13",213,-0.0651644278834152,0.948104201757526,1,"ns"
"id","poll","4","5",213,5.27108738619737,3.3178725512623e-07,2.18979588383312e-05,"****"
"id","poll","4","7",213,5.65234180377705,5.04500891293351e-08,3.32970588253612e-06,"****"
"id","poll","4","8",213,5.0636980795279,8.8879360467407e-07,5.86603779084886e-05,"****"
"id","poll","4","9",213,5.0445124029083,9.7222547092578e-07,6.41668810811015e-05,"****"
"id","poll","4","10",213,4.89759615623495,1.91690002746836e-06,0.000126515401812912,"***"
"id","poll","4","11",213,5.15454106687784,5.7924091704173e-07,3.82299005247542e-05,"****"
"id","poll","4","12",213,5.7054147141888,3.85366041320387e-08,2.54341587271455e-06,"****"
"id","poll","4","13",213,5.68749653594747,4.2213750230863e-08,2.78610751523696e-06,"****"
"id","poll","5","7",213,0.244320253589425,0.807217983707517,1,"ns"
"id","poll","5","8",213,-0.344323470659725,0.730942738484466,1,"ns"
"id","poll","5","9",213,-0.363509147279328,0.716585107511316,1,"ns"
"id","poll","5","10",213,-0.444247246741883,0.65731485191178,1,"ns"
"id","poll","5","11",213,-0.187302336099003,0.851601885831693,1,"ns"
"id","poll","5","12",213,0.363571311211962,0.716538747395619,1,"ns"
"id","poll","5","13",213,0.345653132970634,0.729944548108197,1,"ns"
"id","poll","7","8",213,-0.604773936086879,0.545972927351639,1,"ns"
"id","poll","7","9",213,-0.624485345021931,0.532977220975414,1,"ns"
"id","poll","7","10",213,-0.703888735219308,0.48227084762365,1,"ns"
"id","poll","7","11",213,-0.440081122568075,0.660324586900934,1,"ns"
"id","poll","7","12",213,0.125505724067565,0.900241571971737,1,"ns"
"id","poll","7","13",213,0.107108971965813,0.914803345807185,1,"ns"
"id","poll","8","9",213,-0.0197114089350527,0.984292041641841,1,"ns"
"id","poll","8","10",213,-0.106918660737182,0.914954144081561,1,"ns"
"id","poll","8","11",213,0.156888951914051,0.875480976921853,1,"ns"
"id","poll","8","12",213,0.722475798549691,0.470794480325396,1,"ns"
"id","poll","8","13",213,0.704079046447939,0.482152571150307,1,"ns"
"id","poll","9","10",213,-0.0874616032187255,0.930386773737272,1,"ns"
"id","poll","9","11",213,0.176346009432508,0.860189670636535,1,"ns"
"id","poll","9","12",213,0.741932856068148,0.458945333755889,1,"ns"
"id","poll","9","13",213,0.723536103966396,0.470144414901671,1,"ns"
"id","poll","10","11",213,0.260489145801557,0.794738137493549,1,"ns"
"id","poll","10","12",213,0.818961409266865,0.413723773742749,1,"ns"
"id","poll","10","13",213,0.80079607206394,0.424142036882837,1,"ns"
"id","poll","11","12",213,0.558472263465309,0.57710853507089,1,"ns"
"id","poll","11","13",213,0.540306926262384,0.589549876803847,1,"ns"
"id","poll","12","13",213,-0.0181653372029252,0.985523959288426,1,"ns"
