"grop","variable","n","min","max","median","iqr","mean","sd","se","ci","later_grop"
"dry2dry5_Downstream","poll",32,7.65,8.31,7.97,0.145,7.972,0.144,0.025,0.052,"a"
"dry2dry5_Middlestream","poll",39,7.18,8.29,8.01,0.26,7.942,0.265,0.042,0.086,"ab"
"dry2dry5_Upstream","poll",21,7.54,8.36,7.92,0.3,7.891,0.229,0.05,0.104,"abc"
"dry2wet5_Downstream","poll",12,7.55,8.12,7.905,0.275,7.858,0.173,0.05,0.11,"abc"
"dry2wet5_Middlestream","poll",16,7.53,8.34,8.025,0.195,8.012,0.196,0.049,0.104,"a"
"dry2wet5_Upstream","poll",9,7.89,8.25,8.05,0.21,8.071,0.133,0.044,0.102,"a"
"other_Downstream","poll",52,7.24,8.19,7.77,0.305,7.772,0.24,0.033,0.067,"c"
"other_Middlestream","poll",61,7.01,8.34,7.8,0.48,7.79,0.3,0.038,0.077,"bc"
"other_Upstream","poll",32,7.34,8.2,7.705,0.325,7.746,0.209,0.037,0.075,"c"
"wet2wet5_Downstream","poll",24,7.74,8.4,7.885,0.13,7.923,0.141,0.029,0.059,"abc"
"wet2wet5_Middlestream","poll",35,7.57,8.49,7.98,0.25,7.979,0.191,0.032,0.066,"a"
"wet2wet5_Upstream","poll",20,7.86,8.54,8.035,0.19,8.065,0.163,0.036,0.076,"a"
