"id","variable","n","min","max","median","iqr","mean","sd","se","ci","later_grop"
"1","poll",31,7.45,8.07,7.86,0.33,7.805,0.184,0.033,0.068,"a"
"2","poll",30,7.34,8.18,7.915,0.332,7.873,0.223,0.041,0.083,"ab"
"3","poll",21,7.58,8.54,8.14,0.25,8.065,0.254,0.055,0.116,"b"
"4","poll",28,7.01,8.34,7.8,0.713,7.778,0.404,0.076,0.157,"a"
"5","poll",29,7.38,8.27,7.96,0.47,7.913,0.252,0.047,0.096,"ab"
"7","poll",31,7.45,8.27,7.98,0.32,7.918,0.218,0.039,0.08,"ab"
"8","poll",32,7.42,8.49,8.005,0.237,7.949,0.223,0.039,0.08,"ab"
"9","poll",31,7.45,8.31,7.98,0.3,7.912,0.217,0.039,0.08,"ab"
"10","poll",31,7.24,8.4,7.9,0.365,7.875,0.261,0.047,0.096,"ab"
"11","poll",30,7.36,8.31,7.87,0.245,7.862,0.202,0.037,0.075,"ab"
"12","poll",29,7.36,8.1,7.89,0.18,7.842,0.185,0.034,0.071,"ab"
"13","poll",30,7.37,8.19,7.895,0.225,7.876,0.192,0.035,0.072,"ab"
