"grop","emmean","se","df","conf.low","conf.high","method"
"dry2dry5_Downstream",7.971875,0.0398005922631882,341,7.89358941890359,8.05016058109642,"Emmeans test"
"dry2dry5_Middlestream",7.9423076923077,0.0360522372519689,341,7.87139491984359,8.01322046477181,"Emmeans test"
"dry2dry5_Upstream",7.89095238095239,0.0491309177334821,341,7.79431456161714,7.98759020028764,"Emmeans test"
"dry2wet5_Downstream",7.85833333333334,0.0649940950035837,341,7.73049351473101,7.98617315193567,"Emmeans test"
"dry2wet5_Middlestream",8.01187500000001,0.0562865373690823,341,7.90116246947519,8.12258753052482,"Emmeans test"
"dry2wet5_Upstream",8.07111111111112,0.0750487164921097,341,7.9234944037447,8.21872781847753,"Emmeans test"
"other_Downstream",7.77153846153847,0.0312221533234687,341,7.71012619913176,7.83295072394517,"Emmeans test"
"other_Middlestream",7.78983606557378,0.0288270105078546,341,7.73313491766229,7.84653721348526,"Emmeans test"
"other_Upstream",7.74625000000001,0.0398005922631881,341,7.66796441890359,7.82453558109642,"Emmeans test"
"wet2wet5_Downstream",7.92250000000001,0.0459577653141164,341,7.83210359736064,8.01289640263937,"Emmeans test"
"wet2wet5_Middlestream",7.97857142857143,0.0380566452331325,341,7.90371609559159,8.05342676155128,"Emmeans test"
"wet2wet5_Upstream",8.06450000000001,0.05034420951014,341,7.96547570231421,8.16352429768581,"Emmeans test"
