"term",".y.","group1","group2","df","statistic","p","p.adj","p.adj.signif"
"grop","poll","dry2dry5_Downstream","dry2dry5_Middlestream",341,0.550586267520497,0.582277828295201,1,"ns"
"grop","poll","dry2dry5_Downstream","dry2dry5_Upstream",341,1.2798294752358,0.201475135396944,1,"ns"
"grop","poll","dry2dry5_Downstream","dry2wet5_Downstream",341,1.48980701512706,0.137199307423474,1,"ns"
"grop","poll","dry2dry5_Downstream","dry2wet5_Middlestream",341,-0.580242892238194,0.562134045928693,1,"ns"
"grop","poll","dry2dry5_Downstream","dry2wet5_Upstream",341,-1.16817935911113,0.243550499810968,1,"ns"
"grop","poll","dry2dry5_Downstream","other_Downstream",341,3.96034170791016,9.11398375303562e-05,0.00601522927700351,"**"
"grop","poll","dry2dry5_Downstream","other_Middlestream",341,3.70423211909453,0.000247260697244139,0.0163192060181132,"*"
"grop","poll","dry2dry5_Downstream","other_Upstream",341,4.00850737220749,7.50873332236501e-05,0.00495576399276091,"**"
"grop","poll","dry2dry5_Downstream","wet2wet5_Downstream",341,0.812136783730773,0.417279720171678,1,"ns"
"grop","poll","dry2dry5_Downstream","wet2wet5_Middlestream",341,-0.121604690515031,0.903283725883887,1,"ns"
"grop","poll","dry2dry5_Downstream","wet2wet5_Upstream",341,-1.44328471487993,0.149858279366126,1,"ns"
"grop","poll","dry2dry5_Middlestream","dry2dry5_Upstream",341,0.842727504372345,0.39997155366279,1,"ns"
"grop","poll","dry2dry5_Middlestream","dry2wet5_Downstream",341,1.12984797578739,0.259334404774706,1,"ns"
"grop","poll","dry2dry5_Middlestream","dry2wet5_Middlestream",341,-1.04076246808856,0.298723142966806,1,"ns"
"grop","poll","dry2dry5_Middlestream","dry2wet5_Upstream",341,-1.54701956495024,0.122786060300217,1,"ns"
"grop","poll","dry2dry5_Middlestream","other_Downstream",341,3.58062118934705,0.000392550640464444,0.0259083422706533,"*"
"grop","poll","dry2dry5_Middlestream","other_Middlestream",341,3.30310006827256,0.00105762312050559,0.0698031259533692,"ns"
"grop","poll","dry2dry5_Middlestream","other_Upstream",341,3.65087934788399,0.000302327245688478,0.0199535982154395,"*"
"grop","poll","dry2dry5_Middlestream","wet2wet5_Downstream",341,0.33910719678605,0.73473770936564,1,"ns"
"grop","poll","dry2dry5_Middlestream","wet2wet5_Middlestream",341,-0.691764847809489,0.489555736600353,1,"ns"
"grop","poll","dry2dry5_Middlestream","wet2wet5_Upstream",341,-1.97333418057438,0.049264611263367,1,"ns"
"grop","poll","dry2dry5_Upstream","dry2wet5_Downstream",341,0.400359421731895,0.689142506648333,1,"ns"
"grop","poll","dry2dry5_Upstream","dry2wet5_Middlestream",341,-1.61849662337503,0.106480130796504,1,"ns"
"grop","poll","dry2dry5_Upstream","dry2wet5_Upstream",341,-2.00845017743631,0.0453835522548838,1,"ns"
"grop","poll","dry2dry5_Upstream","other_Downstream",341,2.0513526097052,0.0409961691650907,1,"ns"
"grop","poll","dry2dry5_Upstream","other_Middlestream",341,1.77510623950711,0.0767722966421101,1,"ns"
"grop","poll","dry2dry5_Upstream","other_Upstream",341,2.28853656071979,0.0227174717766944,1,"ns"
"grop","poll","dry2dry5_Upstream","wet2wet5_Downstream",341,-0.4689333013397,0.639416964545449,1,"ns"
"grop","poll","dry2dry5_Upstream","wet2wet5_Middlestream",341,-1.40988490380929,0.159485082040143,1,"ns"
"grop","poll","dry2dry5_Upstream","wet2wet5_Upstream",341,-2.4671005650466,0.0141120154921952,0.931393022484881,"ns"
"grop","poll","dry2wet5_Downstream","dry2wet5_Middlestream",341,-1.78580208320236,0.0750198238477322,1,"ns"
"grop","poll","dry2wet5_Downstream","dry2wet5_Upstream",341,-2.1432062906581,0.0328037182179037,1,"ns"
"grop","poll","dry2wet5_Downstream","other_Downstream",341,1.20373766526972,0.229525933986767,1,"ns"
"grop","poll","dry2wet5_Downstream","other_Middlestream",341,0.963391555237983,0.336033736659738,1,"ns"
"grop","poll","dry2wet5_Downstream","other_Upstream",341,1.47067187915292,0.14230199705199,1,"ns"
"grop","poll","dry2wet5_Downstream","wet2wet5_Downstream",341,-0.806101907257506,0.420745882860533,1,"ns"
"grop","poll","dry2wet5_Downstream","wet2wet5_Middlestream",341,-1.59644249675458,0.111316305259376,1,"ns"
"grop","poll","dry2wet5_Downstream","wet2wet5_Upstream",341,-2.50775183589925,0.0126142872204345,0.832542956548675,"ns"
"grop","poll","dry2wet5_Middlestream","dry2wet5_Upstream",341,-0.631441696859291,0.528174801860597,1,"ns"
"grop","poll","dry2wet5_Middlestream","other_Downstream",341,3.73389829784886,0.000220879576166726,0.0145780520270039,"*"
"grop","poll","dry2wet5_Middlestream","other_Middlestream",341,3.51110774484259,0.000506229888337604,0.0334111726302819,"*"
"grop","poll","dry2wet5_Middlestream","other_Upstream",341,3.8531754562692,0.000139298064421788,0.00919367225183803,"**"
"grop","poll","dry2wet5_Middlestream","wet2wet5_Downstream",341,1.22994912370439,0.219564027042424,1,"ns"
"grop","poll","dry2wet5_Middlestream","wet2wet5_Middlestream",341,0.490157001624845,0.62433801868906,1,"ns"
"grop","poll","dry2wet5_Middlestream","wet2wet5_Upstream",341,-0.696869285955667,0.486359381580722,1,"ns"
"grop","poll","dry2wet5_Upstream","other_Downstream",341,3.68549346681496,0.000265425004424082,0.0175180502919894,"*"
"grop","poll","dry2wet5_Upstream","other_Middlestream",341,3.49867685474838,0.000529558930732432,0.0349508894283405,"*"
"grop","poll","dry2wet5_Upstream","other_Upstream",341,3.82417287748201,0.000155990333689874,0.0102953620235317,"*"
"grop","poll","dry2wet5_Upstream","wet2wet5_Downstream",341,1.6887161741466,0.0921879985091645,1,"ns"
"grop","poll","dry2wet5_Upstream","wet2wet5_Middlestream",341,1.09974607345503,0.272218552762784,1,"ns"
"grop","poll","dry2wet5_Upstream","wet2wet5_Upstream",341,0.0731555341984237,0.941725241320548,1,"ns"
