"term",".y.","group1","group2","df","statistic","p","p.adj","p.adj.signif"
"id","poll","1","2",341,-1.1111398763544,0.267290973470566,1,"ns"
"id","poll","1","3",341,-3.83424982262056,0.000149987083646025,0.00989914752063767,"**"
"id","poll","1","4",341,0.431449749370709,0.666414021472817,1,"ns"
"id","poll","1","5",341,-1.74413936609853,0.082035855092528,1,"ns"
"id","poll","1","7",341,-1.86078903979336,0.0636344956182297,1,"ns"
"id","poll","1","8",341,-2.38361370470506,0.0176903509497455,1,"ns"
"id","poll","1","9",341,-1.7494597810023,0.0811111624827269,1,"ns"
"id","poll","1","10",341,-1.14510094756512,0.252970390465777,1,"ns"
"id","poll","1","11",341,-0.920984235053991,0.357709750074046,1,"ns"
"id","poll","1","12",341,-0.590785871430905,0.555055257489937,1,"ns"
"id","poll","1","13",341,-1.15460402293735,0.249061102525434,1,"ns"
"id","poll","2","3",341,-2.80852188674442,0.00526367129185756,0.347402305262599,"ns"
"id","poll","2","4",341,1.51105059826658,0.131701661716869,1,"ns"
"id","poll","2","5",341,-0.637494341571877,0.524230689618678,1,"ns"
"id","poll","2","7",341,-0.734333766865181,0.463249981750103,1,"ns"
"id","poll","2","8",341,-1.24390959338072,0.214387237002268,1,"ns"
"id","poll","2","9",341,-0.623920813852035,0.533096738687526,1,"ns"
"id","poll","2","10",341,-0.0245362117807017,0.980439251298984,1,"ns"
"id","poll","2","11",341,0.188615894167452,0.850506075696178,1,"ns"
"id","poll","2","12",341,0.506679028705962,0.612707503381071,1,"ns"
"id","poll","2","13",341,-0.0431122043811371,0.965637323649221,1,"ns"
"id","poll","3","4",341,4.14355678414604,4.3176499457917e-05,0.00284964896422252,"**"
"id","poll","3","5",341,2.20940912532711,0.0278103526801116,1,"ns"
"id","poll","3","7",341,2.16192701536992,0.0313189805676767,1,"ns"
"id","poll","3","8",341,1.71974356876025,0.0863864133181542,1,"ns"
"id","poll","3","9",341,2.26198051665843,0.0243276902089238,1,"ns"
"id","poll","3","10",341,2.80512809508173,0.00531813001224918,0.350996580808446,"ns"
"id","poll","3","11",341,2.97968802163307,0.0030924412979082,0.204101125661941,"ns"
"id","poll","3","12",341,3.24928585419209,0.00127214193411501,0.0839613676515907,"ns"
"id","poll","3","13",341,2.76939819876987,0.00592327755039775,0.390936318326251,"ns"
"id","poll","4","5",341,-2.12521813335007,0.0342869851853922,1,"ns"
"id","poll","4","7",341,-2.24431342479381,0.0254531774360665,1,"ns"
"id","poll","4","8",341,-2.75597130348247,0.00616634495010436,0.406978766706888,"ns"
"id","poll","4","9",341,-2.13585149549498,0.0334033754390869,1,"ns"
"id","poll","4","10",341,-1.54705816501567,0.122776753477844,1,"ns"
"id","poll","4","11",341,-1.32571523076956,0.185821450053566,1,"ns"
"id","poll","4","12",341,-1.00061626163483,0.317721872920119,1,"ns"
"id","poll","4","13",341,-1.55341296798019,0.121252085551377,1,"ns"
"id","poll","5","7",341,-0.0853736808426303,0.932014419007716,1,"ns"
"id","poll","5","8",341,-0.585468007975293,0.558620315930471,1,"ns"
"id","poll","5","9",341,0.0240843647008665,0.980799402139215,1,"ns"
"id","poll","5","10",341,0.618285183365534,0.536800107737227,1,"ns"
"id","poll","5","11",341,0.824504964894255,0.410229044524207,1,"ns"
"id","poll","5","12",341,1.13459852939211,0.257340494161509,1,"ns"
"id","poll","5","13",341,0.594749056241041,0.55240564894665,1,"ns"
"id","poll","7","8",341,-0.508114641220137,0.611701472783346,1,"ns"
"id","poll","7","9",341,0.111329258791064,0.911420753072973,1,"ns"
"id","poll","7","10",341,0.715688092228242,0.474673733477981,1,"ns"
"id","poll","7","11",341,0.924489408165582,0.355885302138392,1,"ns"
"id","poll","7","12",341,1.23872717551025,0.216298555607488,1,"ns"
"id","poll","7","13",341,0.690869620282225,0.490117488710241,1,"ns"
"id","poll","8","9",341,0.62032398689873,0.535458840106004,1,"ns"
"id","poll","8","10",341,1.22946043486821,0.219746860139008,1,"ns"
"id","poll","8","11",341,1.43554353348888,0.152048893059812,1,"ns"
"id","poll","8","12",341,1.74763165341383,0.0814279295691415,1,"ns"
"id","poll","8","13",341,1.20010754992742,0.23093066124613,1,"ns"
"id","poll","9","10",341,0.604358833437177,0.546006983193327,1,"ns"
"id","poll","9","11",341,0.814076455152437,0.416169260077649,1,"ns"
"id","poll","9","12",341,1.12926912996676,0.259578091527766,1,"ns"
"id","poll","9","13",341,0.58045666726908,0.561990078615082,1,"ns"
"id","poll","10","11",341,0.214691853081104,0.83013590746854,1,"ns"
"id","poll","10","12",341,0.535068311302089,0.592951362923736,1,"ns"
"id","poll","10","13",341,-0.0189279348022528,0.984909664760738,1,"ns"
"id","poll","11","12",341,0.319668405383582,0.749415470275901,1,"ns"
"id","poll","11","13",341,-0.231728098548588,0.816888199174075,1,"ns"
"id","poll","12","13",341,-0.549424314036796,0.583073911855952,1,"ns"
